"HOLO","Holocene"
"HOPL","Late Pleist./Early Holo."
"PLEI","Pleistocene"
"LPLE","Late Pleistocene"
"MPLE","Middle Pleistocene"
"EPLE","Early Pleistocene"
"PLPL","Plio-Pleistocene"
"LPLI","Late Pliocene"
"MPLI","Middle Pliocene"
"EPLI","Early Pliocene"
"PLIO","Pliocene"
"LOLI","Late Oligocene"
"MOLI","Middle Oligocene"
"EOLI","Early Oligocene"
"OLIG","Oligocene"
"LEOC","Late Eocene"
"MEOC","Middle Eocene"
"EEOC","Early Eocene"
"EOCE","Eocene"
"LPAL","Late Paleocene"
"MPAL","Middle Paleocene"
"EPAL","Early Paleocene"
"PALE","Paleocene"

