FILINGPERIODNAME,REPORTTYPECODE,REPORTNAME,REGISTRANTTYPE,DATEFILED,AMENDEDDATE,COMMITTEE ID,REGISTRANTNAME,ELECTIONYEAR,BRANCH,FILINGYEAR,EXTENSION,COMMENTFLAG,ATTACHMENT,VIEWREPORTTYPE,CREATEDDATE,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/5/2020,,0105609,Phil Anderson for State Assembly,,State Assembly  District No. 47,2020,,False,,1,2020-04-21T11:47:21.320,
Fall Pre-Election 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/5/2020,10/25/2020,0106181,Committee for a Better Madison,2020,State Assembly  District No. 76,2020,,False,,1,2020-07-29T15:00:57.127,
September Report 2020,EB3,Receipt - 72-Hour Report,Legislative Campaign Committee,8/5/2020,,0400002,Rep Assembly Campaign Com RACC,,,2020,,False,,1,2020-07-14T22:02:22.613,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/5/2020,,0106198,Lindsay for Assembly,,State Assembly  District No. 48,2020,,False,,1,2020-07-15T09:54:24.580,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/5/2020,,0104528,Taxpayers for Stafsholt,,State Senate  District No. 10,2020,,False,,1,2019-11-18T23:29:59.150,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/6/2020,,0105254,Friends of Mary,,State Senate  District No. 12,2020,,False,,1,2020-04-05T16:31:01.590,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/6/2020,8/11/2020,0105209,Friends of Melissa Sargent,,State Senate  District No. 16,2020,,False,,1,2020-07-22T10:45:42.627,
September Report 2020,EB3,Receipt - 72-Hour Report,Political Party,8/6/2020,,0300173,Republican Party of Wisconsin,,,2020,,False,,1,2020-01-10T15:09:22.107,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/6/2020,,0106188,Stewart for Assembly,,State Assembly  District No. 48,2020,,False,,1,2020-02-14T14:49:24.283,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/6/2020,,0106271,Samuel Anderson For Assembly,,State Assembly  District No. 48,2020,,False,,1,2020-05-07T20:07:25.543,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/6/2020,,0105462,Ken Skowronski for Assembly,,State Assembly  District No. 82,2020,,False,,0,2019-12-18T10:46:46.007,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/6/2020,8/11/2020,0105466,Friends of Lisa Subeck,,State Assembly  District No. 78,2020,,False,,1,2020-04-15T09:39:01.350,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/7/2020,,0104417,Taxpayers for Nygren,,State Assembly  District No. 89,2020,,False,,1,2020-05-20T13:52:32.433,
September Report 2020,EB7S,Independent Expenditure - 72-Hour,Independent Expenditure Committee,8/7/2020,,1100009,Citizen Action of Wisconsin Inc.,,,2020,,False,,1,2020-07-15T10:36:55.210,
September Report 2020,EB7,Independent Expenditure,Unregistered Express Advocacy,8/7/2020,,1200017,Service Employees International Union Committee on Political Education,,,2020,,False,,0,2018-07-18T21:41:49.093,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/7/2020,,0106273,supporters of Don,,State Assembly  District No. 35,2020,,False,,1,2020-04-30T14:40:14.230,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/8/2020,,0105709,Friends of Jimmy Anderson,,State Assembly  District No. 47,2020,,False,,1,2020-04-22T12:18:57.947,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/8/2020,,0104678,Milroy for Assembly,,State Assembly  District No. 73,2020,,False,,1,2020-05-28T09:46:03.290,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/8/2020,,0106250,Committee To Elect Vocke,,State Senate  District No. 12,2020,,False,,0,2020-06-29T14:45:05.470,
Fall Pre-Election 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/9/2020,,0106172,Nada for Wisconsin,2020,State Senate  District No. 26,2020,,False,,1,2020-01-14T00:13:13.047,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/10/2020,8/10/2020,0106191,Piotrowski for State Senate,,State Senate  District No. 24,2020,,False,,1,2020-02-19T15:33:16.057,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/10/2020,,0106266,Terry Lyon for Assembly,,State Assembly  District No. 46,2020,,False,,1,2020-07-13T18:13:06.073,
Fall Pre-Primary 2020,EB7,Independent Expenditure,Unregistered Express Advocacy,8/10/2020,8/10/2020,1200010,Americans For Prosperity,2020,,2020,,False,,0,2018-01-22T09:41:05.800,
September Report 2020,EB7,Independent Expenditure,Unregistered Express Advocacy,8/10/2020,9/1/2020,1200010,Americans For Prosperity,,,2020,,False,,0,2018-01-22T09:41:05.800,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/10/2020,,0105714,Zimmerman for Wisconsin,,State Assembly  District No. 30,2020,,False,,1,2020-05-20T12:07:13.350,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/11/2020,,0106030,Oldenburg for Assembly,,State Assembly  District No. 96,2020,,False,,1,2020-04-16T19:04:14.097,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/11/2020,,0106254,JoAnna for Wisconsin,,State Assembly  District No. 08,2020,,False,,1,2020-04-21T14:36:02.200,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/11/2020,,0106020,Committee to Elect Katherine R. Gaulke,,State Assembly  District No. 32,2020,,False,,1,2020-04-15T17:36:10.453,
September Report 2020,EB3,Receipt - 72-Hour Report,Independent Expenditure Committee,8/11/2020,,1100113,SEIU Wisconsin State Council Independent Expenditure Committee,,,2020,,False,,1,2020-02-18T14:02:28.613,
September Report 2020,EB7S,Independent Expenditure - 72-Hour,Independent Expenditure Committee,8/11/2020,,1100113,SEIU Wisconsin State Council Independent Expenditure Committee,,,2020,,False,,1,2020-02-18T14:02:28.613,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/12/2020,,0106182,Citizens for Dan Griffin,,State Senate  District No. 28,2020,,False,,1,2020-05-19T13:03:30.257,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/12/2020,,0106220,Marsha For Assembly,,State Assembly  District No. 76,2020,,False,,0,2020-04-08T15:39:37.117,
September Report 2020,EB7S,Independent Expenditure - 72-Hour,Independent Expenditure Committee,8/12/2020,,1100118,Voters First Wisconsin Committee,,,2020,,False,,1,2020-08-03T12:26:49.620,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/13/2020,,0105238,Friends of La Tonya Johnson,,State Senate  District No. 06,2020,,False,,1,2020-07-15T13:26:39.577,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/13/2020,,0106180,Friends of Paul McCreary,,State Assembly  District No. 82,2020,,False,,0,2020-01-27T15:56:14.853,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/14/2020,,0106194,Amanda WhiteEagle for Wisconsin,,State Assembly  District No. 92,2020,,False,,1,2020-02-21T15:04:55.457,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/17/2020,8/25/2020,0105696,Feyen for Senate,,State Senate  District No. 18,2020,,False,,1,2020-01-13T09:19:02.500,
September Report 2020,EB3,Receipt - 72-Hour Report,State Candidate,8/17/2020,,0106245,Friends For Marc Adam Ciske,,State Assembly  District No. 82,2020,,False,,1,2020-04-16T21:20:59.690,
