Database,stewards_website,API contact,description_website,accepting data?,dbid
European Pollen Database,"Walter Finsinger, Berangere Leys, Thomas Giesecke",null,1,,3
Indo-Pacific Pollen Database,Annika Herbert,Annika Herbert,1,,4
Latin American Pollen Database,Suzette Flantua,Suzette Flantua,1,,5
North American Pollen Database,"John (Jack) Williams, Simon Goring",Jack Williams,1,,6
Pollen Database of Siberia and the Russian Far East,NA,"""Anderson, Patricia M.""",NA,,7
Canadian Pollen Database,NA,"""Gajewski, Konrad J.""",NA,,8
Japanese Pollen Database,Naoko Sasaki,"""Takahara, Hikaru""",0,,19
Chinese Pollen Database,NA,null,NA,,22
Deep-Time Palynology Database,blank,"""Hoorn, Carina""",0,,26
Alpine Palynological Database,Willy Tinner,"""Heiri, Oliver""",1,,28
African Pollen Database,"Anne-Marie Lezine, Sarah Ivory","""Lézine, Anne-Marie""",1,,2
FAUNMAP,Jessica Blois,Jessica Blois,1,,10
MioMap,Jessica Blois,Jessica Blois,0,,16
Alaskan Archaeofaunas,blank,"""Etnier, Michael A""",0,,17
PaleoVertebrates of Latin America,"Joaquin Arroyo Cabrales, Jessica Blois","""Arroyo-Cabrales, Joaquín""",0,,36
ANTIGUA,Jessica Blois,Jessica Blois,0,,24
Faunal Isotope Database,Suzanne Pilaar Birch,"""Pilaar Birch, Suzanne E.""",0,,32
Academy of Natural Sciences at Drexel University,Donald F. Charles,"""Charles, Donald F.""",1,,13
Tropical South American Diatom Database,NA,"""Benito, Xavier""",NA,,38
St. Croix Watershed Research Station of the Science Museum of Minnesota,blank,"""Ramstack Hobbs, Joy M.""",0,,37
North American Non-Marine Ostracode Database Project (NANODe),blank,"""Smith, Alison Jean""",0,,15
Canadian Museum of Nature-Delorme Ostracoda-Surface Samples,blank,"""Smith, Alison Jean""",0,,29
Neotoma Ostracode Database,Alison Smith,"""Smith, Alison Jean""",0,,31
Nonmarine Ostracod Distribution in Europe Database,NA,"""Horne, David""",NA,,41
East Asian Nonmarine Ostracod Database,NA,"""Smith, Robin J.""",NA,,42
NDSU Insect Database,Allan Ashworth,"""Ashworth, Allan C.""",0,,14
North American Plant Macrofossil Database,"John (Jack) Williams, Simon Goring","""Jackson, Stephen T.""",0,,12
Neotoma Midden Database,blank,"""Latorre, Claudio""",0,,20
Neotoma Testate Amoebae Database,Robert K. Booth,"""Booth, Robert K.""",0,,25
Neotoma Biomarker Database,blank,"""Nichols, Jonathan E.""",0,,27
Neotoma Charcoal Data,blank,null,0,,33
Marine Dinoflagellates Database,NA,"""van Nieuwenhove, Nicolas"",",NA,,39
Sedimentary aDNA Database,NA,null,NA,,40
Pollen Monitoring Programme,Thomas Giesecke,"""Giesecke, Thomas""",0,,35
Diatom Paleolimnology Data Cooperative,Don Charles,"""Charles, Donald F.""",1,no,30
French Institute of Pondicherry Palynology and Paleoecology Database,NA,"""Anupama, Krishnamurthy""",NA,,18
Holocene Perspective on Peatland Biogeochemistry,NA,"""Yu, Zicheng C.""",NA,,23
Neotoma,,,,,11
Strategic Environmental Archaeology Database,,,,,43
Packrat Middens = Neotoma Midden Database?,Claudio Latorre,,0,,
Stable Isotopes = Faunal Isotope Database,,,,,
"blank, db is listed on website with no info",,,,,
"NA, db isn't even listed on website",,,,,
