"","locality_ID","site_name","alternate_name","state_province","county","site_number","coded_by","date_coded","date_updated","comment","precision","quadrangle","quadrangle_size","latitude","longitude","altitude","repository"
"1","625","Planters Hotel","","FL","LEON","","MAG","9/27/1991","","","QA","TALLAHASSEE",7.5,302200,841500,NA,""
"2","1558","Arch Creek","","FL","DADE","8DA23","MKR","6/10/1992","","","QA","HIALEAH",7.5,254500,801500,NA,""
"3","1559","Askew Site","","FL","CITRUS","8CI46","MKR","6/10/1992","","","QC","LECANTO",7.5,284500,822200,NA,"FSM"
"4","1560","Cushing's Site","","FL","COLLIER","","MKR","6/10/1992","","","QP","MARCO ISLAND",7.5,255200,813700,NA,"YPM"
"5","1561","Colby","","FL","MARION","8MR57","MKR","6/10/1992","","","QA","OCALA EAST",7.5,290700,820000,NA,"FSM"
"6","1562","Devil's Den","","FL","LEVY","","MKR","6/10/1992","6/18/1993","Age brackets revised by Webb (pers. comm.)","QA","WILLISTON",7.5,292200,822200,24,"FSM"
"7","1563","Fort Walton Temple Mound","","FL","OKALOOSA","","MKR","6/10/1992","8/05/1992","","QA","FORT WALTON BEACH",7.5,302200,863000,NA,"FSM"
"8","1564","Dixie Lime Cave #1","","FL","MARION","","MKR","6/10/1992","","","QA","OCALA EAST",7.5,290700,820000,NA,"FSM"
"9","1565","Dixie Lime Cave #2","","FL","MARION","","MKR","6/10/1992","","","QA","OCALA EAST",7.5,290700,820000,NA,"FSM"
"10","1566","Tick Island","Harris Creek Site","FL","VOLUSIA","","MKR","6/10/1992","6/19/1992","","QA","LAKE WOODRUFF",7.5,290000,812200,NA,"FSM"
"11","1567","Harrison Homestead Village","","FL","NASSAU","8NA41","MKR","6/10/1992","","","E","AMELIA CITY",7.5,303730,812600,5,"FSM"
"12","1568","Hontoon Island","","FL","VOLUSIA","8VO202","MKR","6/10/1992","","","QA","ORANGE CITY",7.5,285200,811500,NA,""
"13","1569","Palm River Midden","","FL","HILLSBOROUGH","8HI108","MKR","6/10/1992","","","QP","TAMPA",7.5,275200,822200,NA,""
"14","1570","Lehigh","","FL","DADE","","MKR","6/10/1992","","","QA","HIALEAH SW",7.5,254500,802200,NA,""
"15","1571","Madden","","FL","DADE","Dd45","MKR","6/10/1992","","","QP","OPA-LOCKA",7.5,255200,801500,3,""
"16","1572","Marco Midden","","FL","COLLIER","","MKR","6/10/1992","","","QP","MARCO ISLAND",7.5,255200,813700,NA,""
"17","1573","Maximo Point","","FL","PINELLAS","","MKR","6/10/1992","","","QA","SAINT PETERSBURG",7.5,274500,823700,NA,""
"18","1574","Mulberry Midden","","FL","OSCEOLA","","MKR","6/10/1992","","","QA","CYPRUS LAKE",7.5,280000,811500,NA,"FSM"
