"A","Amphibian"
"ACE","Acer-Maple"
"ARTI","ARTIODACTYLA"
"ALal","Alces alces"
"AL","Alces sp."
"AXla","Alopex lagopus"
"AX","Alopex sp."
"AMhi","Ammospermophilus harrisii"
"AMin","Ammospermophilus interpres"
"AMle","Ammospermophilus leucurus"
"AMne","Ammospermophilus nelsoni"
"AM","Ammospermophilus sp."
"ACam","Antilocapra americana"
"AC","Antilocapra sp."
"ANT","Antilocapridae"
"ANpa","Antrozous pallidus"
"AN","Antrozous sp."
"APru","Aplodontia rufa"
"AP","Aplodontia sp."
"APL","Aplodontiidae"
"AR","Arctodus sp."
"ARpr","Arctodus pristinus"
"ARsi","Arctodus simus"
"AHti","Arctocephalus townsendi"
"AZag","Aztlanolagus agilis"
"B","Aves"
"BY","Baiomys sp."
"BYty","Baiomys taylori"
"BAS","Bassariscidae"
"BSas","Bassariscus astutus"
"BSso","Bassariscus sonoitensis"
"BS","Bassariscus sp."
"BIal","Bison alleni"
"BIan","Bison antiquus"
"BIanoc","Bison antiquus/occidentalis"
"BIbi","Bison bison"
"BIch","Bison chaneyi"
"BIla","Bison latifrons"
"BIoc","Bison occidentalis"
"BIpr","Bison priscus"
"BIta","Bison taylori"
"BI","Bison sp."
"BLba","Blarina brevicauda"
"BLcs","Blarina carolinensis"
"BLhp","Blarina hylophaga"
"BLki","Blarina kirtlandi"
"BL","Blarina sp."
"BLtl","Blarina telmalestes"
"BCex","Blastocerus extraneus"
"BObo","Bootherium bombifrons"
"BBta","Bos taurus"
"BOV","Bovidae"
"BR","Brachyprotoma sp."
"BRbr","Brachyprotoma brevimala"
"BRob","Brachyprotoma obtusata"
"CARN","CARNIVORA"
"CETA","CETACEA"
"CHIR","CHIROPTERA"
"CWus","Callorhinus ursinus"
"CAM","Camelidae"
"CMhe","Camelops hesternus"
"CMhf","Camelops huerfanensis"
"CMka","Camelops kansanus"
"CMmi","Camelops minidokae"
"CM","Camelops sp."
"CMtr","Camelops traviswhitei"
"CAN","Canidae"
"CAdi","Canis dirus"
"CAfa","Canis familiaris"
"CAla","Canis latrans"
"CAlu","Canis lupus"
"CAru","Canis rufus"
"CA","Canis sp."
"CChi","Capra hircus"
"CPme","Capromeryx mexicana"
"CPmi","Capromeryx minor"
"CP","Capromeryx sp."
"CRca","Castor canadensis"
"CR","Castor sp."
"CAS","Castoridae"
"CIoh","Castoroides ohioensis"
"CEsc","Cervalces scotti"
"CE","Cervalces sp."
"CER","Cervidae"
"CVca","Cervus canadensis"
"CVna","Cervus nannodes"
"CV","Cervus sp."
"CHmx","Choeronycteris mexicana"
"CH","Choeronycteris sp."
"CLca","Clethrionomys californicus"
"CLga","Clethrionomys gapperi"
"CLru","Clethrionomys rutilus"
"CL","Clethrionomys sp."
"CNca","Condylura cristata"
"CN","Condylura sp."
"COle","Conepatus leuconotus"
"COme","Conepatus mesoleucus"
"CO","Conepatus sp."
"CRI","Cricetidae"
"CSpa","Cryptotis parva"
"CS","Cryptotis sp."
"CUal","Cuon alpinus"
"CYgu","Cynomys gunnisoni"
"CYle","Cynomys leucurus"
"CYlu","Cynomys ludovicianus"
"CY","Cynomys sp."
"CYpa","Cynomys parvidens"
"CZca","Cystophora cristata"
"DYbe","Dasypus bellus"
"DYno","Dasypus novemcinctus"
"DY","Dasypus sp."
"DES","Desmodontidae"
"DEL","Delphinidae"
"DSro","Desmodus rotundus"
"DSst","Desmodus stocki"
"DS","Desmodus sp."
"DXtr","Dicrostonyx groenlandicus"
"DXhu","Dicrostonyx hudsonius"
"DX","Dicrostonyx sp."
"DXtq","Dicrostonyx torquatus"
"DID","Didelphidae"
"DE","Didelphis sp."
"DEva","Didelphis virginianus"
"DPec","Diphylla ecaudata"
"DP","Diphylla sp."
"DIag","Dipodomys agilis"
"DIca","Dipodomys californicus"
"DIde","Dipodomys deserti"
"DIet","Dipodomys elator"
"DIel","Dipodomys elephantinus"
"DIhe","Dipodomys heermanni"
"DIin","Dipodomys ingens"
"DIme","Dipodomys merriami"
"DImi","Dipodomys microps"
"DIni","Dipodomys nitratoides"
"DIor","Dipodomys ordi"
"DIpa","Dipodomys panamintinus"
"DI","Dipodomys sp."
"DIds","Dipodomys deserti/spectabilis"
"DIsp","Dipodomys spectabilis"
"DIst","Dipodomys stephensi"
"DIve","Dipodomys venustus"
"DUG","Dugongidae"
"EDEN","EDENTATA"
"ELE","Elephantidae"
"ENlu","Enhydra lutris"
"EN","Enhydra sp."
"EPfs","Eptesicus fuscus"
"EP","Eptesicus sp."
"EPH","Ephedra"
"EQU","Equidae"
"EQca","Equus caballus"
"EQcl","Equus calobatus"
"EQcm","Equus complicatus"
"EQco","Equus conversidens"
"EQex","Equus excelsus"
"EQfr","Equus francisi"
"EQft","Equus fraternus"
"EQgi","Equus giganteus"
"EQhe","Equus hemionus"
"EQlm","Equus lambei"
"EQme","Equus mexicanus"
"EQni","Equus niobrarensis"
"EQoc","Equus occidentalis"
"EQpa","Equus parastylidens"
"EQpc","Equus pacificus"
"EQsc","Equus scotti"
"EQ","Equus sp."
"EQta","Equus tau"
"EMru","Eremotherium rusconii"
"ERdo","Erethizon dorsatum"
"ER","Erethizon sp."
"ERE","Erethizontidae"
"EGbs","Erignatus barbatus"
"ESH","Eschrichtidae"
"ESro","Eschrichtius robustus"
"ECco","Euceratherium"
"EDma","Euderma maculatum"
"ED","Euderma sp."
"ETjs","Eumetopias jubatus"
"EUgl","Eumops glaucinus"
"EUpe","Eumops perotis"
"EU","Eumops sp."
"EUun","Eumops underwoodi"
"FEL","Felidae"
"FSam","Felis amnicola"
"FSat","Felis atrox"
"FSca","Felis canadensis"
"FSdo","Felis cattus"
"FSco","Felis concolor"
"FSon","Felis onca"
"FSpa","Felis pardalis"
"FSru","Felis rufus"
"FS","Felis sp."
"FSwi","Felis wiedi"
"FSya","Felis yagouaroundi"
"FRA","Fraxinus -ash"
"GEO","Geomyidae"
"GEar","Geomys arenarius"
"GEbu","Geomys bursarius"
"GEpe","Geomys personatus"
"GEpi","Geomys pinetus"
"GE","Geomys sp."
"GLsa","Glaucomys sabrinus"
"GL","Glaucomys sp."
"GLvo","Glaucomys volans"
"GOme","Globicephala melaena"
"GSha","Glossotherium harlani"
"GLY","Glyptodontidae"
"GYfl","Glyptotherium floridanum"
"GYme","Glyptotherium mexicanum"
"GUgu","Gulo gulo"
"GU","Gulo sp."
"HCgs","Halichoerus grypus"
"HEma","Hemiauchenia macrocephala"
"HE","Hemiauchenia sp."
"HEbl","Hemiauchenia blancoensis"
"HTon","Heterogeomys onerosus"
"HET","Heteromyidae"
"HOse","Holmesina septentrionalis"
"HHsa","Homo sapiens"
"HMse","Homotherium serum"
"HYD","Hydrochoeridae"
"HYho","Hydrochoerus holmesi"
"HDgi","Hydrodamalis gigas"
"INSE","INSECTIVORA"
"IDph","Idionycteris phyllotis"
"JUN","Juniperus"
"KObr","Kogia breviceps"
"KOG","Kogiidae"
"LAcu","Lagurus curtatus"
"LA","Lagurus sp."
"LAR","LARIX"
"LYnv","Lasionycteris noctivagans"
"LY","Lasionycteris sp."
"LIbo","Lasiurus borealis"
"LIci","Lasiurus cinereus"
"LIeg","Lasiurus ega"
"LIgo","Lasiurus golliheri"
"LIin","Lasiurus intermedius"
"LIse","Lasiurus seminolus"
"LI","Lasiurus sp."
"LEsi","Lemmus sibiricus"
"LE","Lemmus sp."
"LEP","Leporidae"
"LPni","Leptonycteris nivalis"
"LP","Leptonycteris sp."
"LRR","Larren"
"LSal","Lepus alleni"
"LSam","Lepus americanus"
"LScf","Lepus californicus"
"LSeu","Lepus europaeus"
"LS","Lepus sp."
"LStm","Lepus timidus"
"LSti","Lepus townsendi"
"LOir","Liomys irroratus"
"LO","Liomys sp."
"LUca","Lutra canadensis"
"LU","Lutra sp."
"M","Mollusca"
"MARS","MARSUPIALIA"
"MCca","Macrotus californicus"
"MC","Macrotus sp."
"MHtr","Monachus tropicalis"
"MAMM","Mammal"
"MNam","Mammut americanum"
"MMco","Mammuthus columbi"
"MMim","Mammuthus imperator"
"MMjf","Mammuthus jeffersonii"
"MMpr","Mammuthus primigenius"
"MM","Mammuthus sp."
"MMex","Mammuthus exilis"
"MAM","Mammutidae"
"MTca","Marmota caligata"
"MTfl","Marmota flaviventris"
"MTmx","Marmota monax"
"MTol","Marmota olympus"
"MT","Marmota sp."
"MTvn","Marmota vancouverensis"
"MAam","Martes americana"
"MAno","Martes nobilis"
"MApe","Martes pennanti"
"MA","Martes sp."
"MEG","Megalonychidae"
"MG","Megalonyx sp."
"MGjf","Megalonyx jeffersonii"
"MGA","Megatheriidae"
"MEma","Mephitis macroura"
"MEme","Mephitis mephitis"
"ME","Mephitis sp."
"MDme","Microdipidops megacephalus"
"MDpa","Microdipidops pallidus"
"MD","Microdipidops sp."
"MIab","Microtus abbreviatus"
"MIcp","Microtus californicus"
"MIch","Microtus chrotorrhinus"
"MIco","Microtus coronarius"
"MIlo","Microtus longicaudus"
"MIlomo","Microtus longicaudus/montanus"
"MImd","Microtus meadensies"
"MIme","Microtus mexicanus"
"MImi","Microtus miurus"
"MImo","Microtus montanus"
"MIoc","Microtus ochrogaster"
"MIocpi","Microtus ochrogaster/pinetorum"
"MIoe","Microtus oeconomus"
"MIor","Microtus oregoni"
"MIpa","Microtus paroperarius"
"MIpe","Microtus pennsylvanicus"
"MIpi","Microtus pinetorum"
"MIri","Microtus richardsoni"
"MI","Microtus sp."
"MIti","Microtus townsendii"
"MIxa","Microtus xanthognathus"
"MK","Mictomys"
"MX","Miracinonyx"
"MXtr","Miracinonyx trumani"
"MWan","Mirounga angustirostris"
"MWla","Mirounga leonina"
"MOL","Molossidae"
"MOR","Mormoopidae"
"MOme","Mormoops megalophylla"
"MO","Mormoops sp."
"MUR","Muridae"
"MSmu","Mus musculus"
"MS","Mus sp."
"MUer","Mustela erminea"
"MUev","Mustela eversmanni beringiae"
"MUfr","Mustela frenata"
"MUma","Mustela macrodon"
"MUni","Mustela nigripes"
"MUnv","Mustela nivalis"
"MU","Mustela sp."
"MUvi","Mustela vison"
"MUS","Mustelidae"
"ML","Mylohyus sp."
"MLfs","Mylohyus fossilis"
"MLna","Mylohyus nasutus"
"MRcp","Myocastor coypus"
"MR","Myocastor sp."
"MYO","Myocastoridae"
"MYau","Myotis austroriparius"
"MYca","Myotis californicus"
"MYev","Myotis evotis"
"MYgr","Myotis grisescens"
"MYke","Myotis keenii"
"MYle","Myotis leibii"
"MYlu","Myotis lucifugus"
"MYmg","Myotis magnamolaris"
"MYre","Myotis rectidentis"
"MYso","Myotis sodalis"
"MY","Myotis sp."
"MYth","Myotis thysanodes"
"MYve","Myotis velifer"
"MYvo","Myotis volans"
"MYyu","Myotis yumanensis"
"NZin","Napeozapus insignis"
"NZ","Napeozapus sp."
"NAna","Nasua narica"
"NA","Nasua sp."
"NVfr","Navahoceros fricki"
"NHpi","Neochoerus pinckneyi"
"NFal","Neofiber alleni"
"NF","Neofiber sp."
"NFle","Neofiber leonardi"
"NEal","Neotoma albigula"
"NEci","Neotoma cinerea"
"NEfi","Neotoma findleyi"
"NEfl","Neotoma floridana"
"NEfu","Neotoma fuscipes"
"NEgo","Neotoma goldmani"
"NEle","Neotoma lepida"
"NEme","Neotoma mexicana"
"NEmi","Neotoma micropus"
"NEpm","Neotoma pygmaea"
"NE","Neotoma sp."
"NEst","Neotoma stephensi"
"NSgi","Neurotrichus gibbsii"
"NS","Neurotrichus sp."
"NOsh","Nothrotheriops shastense"
"NXci","Notiosorex crawfordi"
"NX","Notiosorex sp."
"NYhu","Nycticeius humeralis"
"NY","Nycticeius sp."
"NCfe","Nyctinomops femorosaccus"
"NCma","Nyctinomops macrotis"
"OCco","Ochotona collaris"
"OCpr","Ochotona princeps"
"OC","Ochotona sp."
"OCH","Ochotonidae"
"OHnu","Ochrotomys nuttalli"
"OH","Ochrotomys sp."
"OI","Ovibovini"
"ODO","Odobenidae"
"OSrs","Odobenus rosmarus"
"ODhe","Odocoileus hemionus"
"OD","Odocoileus sp."
"ODva","Odocoileus virginianus"
"OT","Ondatra sp."
"OTzi","Ondatra zibethicus"
"OTan","Ondatra annectens"
"ONle","Onychomys leucogaster"
"ON","Onychomys sp."
"ONtd","Onychomys torridus"
"OAam","Oreamnos americanus"
"OAhr","Oreamnos harringtoni"
"OA","Oreamnos sp."
"ORpa","Oryzomys palustris"
"OR","Oryzomys sp."
"OTA","Otariidae"
"OBmd","Ovibos moschatus"
"OB","Ovibos sp."
"OVar","Ovis aries"
"OVca","Ovis canadensis"
"OVcaca","Ovis canadensis catclawensis"
"OVda","Ovis dalli"
"OV","Ovis sp."
"OYcu","Oryctolagus cuniculus"
"P","Pisces"
"PERI","PERISSODACTYLA"
"PRIM","PRIMATE"
"PROB","PROBOSCIDEA"
"POmi","Palaeolama mirifica"
"PAM","Pampatherinae"
"PM","Pampatherium sp."
"PAca","Pappogeomys castanops"
"PA","Pappogeomys sp."
"PSbi","Parascalops breweri"
"PS","Parascalops sp."
"PGal","Perognathus alticolus"
"PGam","Perognathus amplus"
"PGbi","Perognathus baileyi"
"PGcf","Perognathus californicus"
"PGfx","Perognathus fallax"
"PGfa","Perognathus fasciatus"
"PGfl","Perognathus flavescens"
"PGfv","Perognathus flavus"
"PGfo","Perognathus formosus"
"PGhs","Perognathus hispidus"
"PGin","Perognathus inornatus"
"PGim","Perognathus intermedius"
"PGlo","Perognathus longimembris"
"PGme","Perognathus merriami"
"PGne","Perognathus nelsoni"
"PGpa","Perognathus parvus"
"PGpe","Perognathus penicillatus"
"PG","Perognathus sp."
"PGsp","Perognathus spinatus"
"PGxa","Perognathus xanthonotus"
"PEan","Peromyscus anyapahensis"
"PEat","Peromyscus attwateri"
"PEbo","Peromyscus boylii"
"PEcf","Peromyscus californicus"
"PEco","Peromyscus cochrani"
"PEcr","Peromyscus crinitus"
"PEcu","Peromyscus cumberlandensis"
"PEdi","Peromyscus difficilis"
"PEer","Peromyscus eremicus"
"PEgo","Peromyscus gossypinus"
"PEim","Peromyscus imperfectus"
"PEle","Peromyscus leucopus"
"PElm","Peromyscus leucopus/maniculatus"
"PEma","Peromyscus maniculatus"
"PEme","Peromyscus merriami"
"PEne","Peromyscus nesodytes"
"PEok","Peromyscus oklahomensis"
"PEpe","Peromyscus pectoralis"
"PEpo","Peromyscus polionotus"
"PEsi","Peromyscus sitkensis"
"PE","Peromyscus sp."
"PEtr","Peromyscus truei"
"PHal","Phenacomys albipes"
"PHin","Phenacomys intermedius"
"PHlo","Phenacomys longicaudus"
"PH","Phenacomys sp."
"PHE","Phocoenidae"
"PC","Phoca sp."
"PCfa","Phoca fasciata"
"PCga","Phoca groenlandica"
"PCla","Phoca largha"
"PCva","Phoca vitulina"
"PHO","Phocidae"
"PNpn","Phocoena phocoena"
"PHY","Phyllostomidae"
"PIhs","Pipistrellus hesperus"
"PI","Pipistrellus sp."
