"id","title","volume","journal","year"
"57158ddecf58f18f2cc4ef91","Differential scaling of the long bones in the terrestrial carnivora and other mammals","204","Journal of Morphology","1990"
"5a3976e1cf58f1047e310366","Radiocarbon Ages From The Lubbock Lake Site, 1950-1980: Framework For Gul Tural And Ecological Change On The Southern High Plains","28","Plains Anthropologist","2017"
"54b43268e138239d8684f60b","Chronology of Holocene vertebrate extinction in the Galápagos Islands","36","Quaternary Research","1991"
"570ec569cf58f170005e6051","New pollen-analytical researches in Corsica: the problem of Quercus ilex L. and Erica arborea L., the origin of Pinus halepensis Miller forests","122","New Phytologist","1992"
"5db7651a998e17af8254a7b2","A reassessment of the sections of the genus Cytisus Desf. (Cytiseae, Leguminosae)","55","TAXON","2006"
"58cb5173cf58f1029db050c1","The Leporidae (Mammalia, Lagomorpha) from the Blancan (Pliocene) Taunton Local Fauna of Washington","15","Journal of Vertebrate Paleontology","1995"
"58cb2e32cf58f1b3fcbe3e27","Pliocene Odocoileus from Hagerman Fossil Beds National Monument, Idaho, and comments on the taxonomic status of Odocoileus brachyodontus","26","Journal of Vertebrate Paleontology","2006"
"5754e60acf58f1b1fee71f92","The armadillo Propraopus sulcatus (Mammalia: Xenarthra) from the late Quaternary of northern Brazil and a revised synonymy with Propraopus grandis","","Quaternary International","2013"
"58c07188cf58f14e47a6f129","Revisiting the intertropical Brazilian species Hoplophorus euphractus (Cingulata, Glyptodontoidea) and the phylogenetic affinities of Hoplophorus","30","Journal of Vertebrate Paleontology","2010"
"58cba5e0cf58f122e6f2c6d1","The status of Giraffa nebrascensis , the synonymies of Cervalces and Cervus , and additional records of Cervalces scotti","11","Journal of Vertebrate Paleontology","1991"
"5748346ccf58f138db85ff3a","Cave infill and associated biotic remains as indicators of Holocene environment in Gatineau Park (Quebec, Canada)","40","Canadian Journal of Earth Sciences","2003"
"5e1933b0998e17af825a647d","Fragilariopsis (Bacillariophyceae) of the Northern Hemisphere – morphology, taxonomy, phylogeny and distribution, with a description of F. pacifica sp. nov.","49","Phycologia","2010"
"58cb9ec7cf58f120498c5731","Late Blancan (Pliocene) microtine rodents from Jackson Hole, Wyoming: biostratigraphy and biogeography","5","Journal of Vertebrate Paleontology","1985"
"5a396fd4cf58f101afafd47e","Stuck in the Muck: The Big Lake Bison Kill Site (41Rg13), West Texas","42","Plains Anthropologist","2017"
"58b275f5cf58f110c0cad90d","A 6500-year pollen record from the Polistovo-Lovatskaya Mire System (northwest European Russia). Vegetation dynamics and signs of human impact","","Grana","2017"
"54b4326fe138239d86850963","Pollen accumulation rates at Rogers Lake, Connecticut, during late- and postglacial time","2","Review of Palaeobotany and Palynology","1967"
"54b4324ae138239d8684a4bc","Holocene palynology and sea-level change in two estuaries in Southern Irian Jaya","220","Palaeogeography, Palaeoclimatology, Palaeoecology","2005"
"5507a4d8e1382326932d9650","Diatom-inferred depth models in 8 Canadian boreal lakes: inferred changes in the benthic:planktonic depth boundary and implications for assessment of past droughts","9-10","Quaternary Science Reviews","2011"
"5c31c4821faed655488ba049","An environmental scenario for the earliest hominins in the Iberian Peninsula: Early Pleistocene palaeovegetation and palaeoclimate","260","Review of Palaeobotany and Palynology","2019"
"570f090fcf58f186d2c4b1f0","A HOLOCENE VEGETATION RECORD FROM THE EASTERN SIDE OF WILSONS PROMONTORY, VICTORIA","82","New Phytologist","1979"
"54b43269e138239d8684fa38","Vegetation and associated environments during the past 14,000 years near Moulton Pond, Maine","5","Quaternary Research","1975"
"54b43269e138239d8684f96b","Quaternary vegetation history of the Mississippi embayment","13","Quaternary Research","1980"
"54b43269e138239d8684f96b","Quaternary vegetation history of the Mississippi embayment","13","Quaternary Research","1980"
"61417df067467f72691660c2","","18","Journal of Paleolimnology","1997"
"54b43268e138239d8684f566","Revised age of deglaciation of Lake Emma based on new radiocarbon and macrofossil analyses","36","Quaternary Research","1991"
"57800b03cf58f13cc8470147","Studies on the Late Quaternary Vegetation History of Northeastern Kansas","84","Geol Soc America Bull","1973"
"54b4326de138239d868505cf","Vegetation and fire history from three lakes with varved sediments in northwestern Wisconsin (U.S.A.)","44","Review of Palaeobotany and Palynology","1985"
"570f8847cf58f1b2f5b25e4b","THE VEGETATIONAL HISTORY OF PARTS OF SOUTH AND EAST DURHAM","77","New Phytologist","1976"
"570f986acf58f1b89089a3b2","The palynological record of the King's Pool, Stafford, England","116","New Phytologist","1990"
"577eee3ccf58f1a8f10eed10","Lake Mullsjön - a key site for understanding the final stage of the Baltic Ice Lake east of Mt. Billingen","18","Boreas","1989"
"56c16749cf58f15c72c8fefb","Allerød- Younger Dryas sea level changes in southwestern Sweden and their relation to the Baltic Ice Lake development","20","Boreas","1991"
"5506b07be1382326932d9269","Late Pleniglacial vegetation in eastern-central Europe: are there modern analogues in Siberia?","","Quaternary Science Reviews","2014"
"570fff3ecf58f11e9687ba12","TWO POLLEN DIAGRAMS FROM THE MAINLAND, ORKNEY ISLANDS","68","New Phytologist","1969"
"570e951fcf58f15c40c19eea","Tephra-dated lowland landscape history of the north of Ireland, A.D. 750-1150","125","New Phytologist","1993"
"55047bebe1382326932d8717","Vegetation history and climate of the last 15,000 years at Laghi di Monticchio, southern Italy","15","Quaternary Science Reviews","1996"
"55047e6de1382326932d8729","Vegetation history and palaeoclimate of the last glacial period at Lago Grande di Monticchio, Southern Italy","15","Quaternary Science Reviews","1996"
"5720a428cf58f1adf2e411dc","Fire on the New England landscape: regional and temporal variation, cultural and environmental controls","29","Journal of Biogeography","2002"
"574f7a8fcf58f130a1dbbb5e","New accelerator mass spectrometry radiocarbon ages for the Mazama tephra layer from Kootenay National Park, British Columbia, Canada","34","Canadian Journal of Earth Sciences","1997"
"5793c5c0cf58f18d89bf391a","Mount Mazama eruption: Calendrical age verified and atmospheric impact assessed","27","Geol","1999"
"54b43269e138239d8684faef","Pollen evidence of pleistocene and holocene vegetation on the Allegheny plateau, Maryland","2","Quaternary Research","1972"
"54b43268e138239d8684f7ca","Late Quaternary vegetation in the Southwestern Columbia Basin, Washington","23","Quaternary Research","1985"
"54b43268e138239d8684f579","Influence of terrestrial vegetation on sediment-forming processes in kettle lakes of west-central Minnesota","38","Quaternary Research","1992"
"62e8f8162cc8300dbb2c0d07","Contrasting Common Era climate and hydrology sensitivities from paired lake sediment dinosterol hydrogen isotope records in the South Pacific Convergence Zone","281","Quaternary Science Reviews","2022"
"59448633cf58f12667b55b0b","An associated musk ox skeleton from saltville, Virginia","2","Journal of Vertebrate Paleontology","2010"
"6416994a14b4ac75a2292eaa","<U+FFFD>ber die Verbreitung der Erddiatomeen","14","Archiv f<U+FFFD>r Mikrobiologie","1949"
"54b43267e138239d8684f3ea","An Ice Age Refugium for Large Mammals in the Alexander Archipelago, Southeastern Alaska","46","Quaternary Research","1996"
"60040608ea8bd3722661a452","Climate and vegetation dynamics of the Northern Apennines (Italy) during the Late Pleistocene and Holocene","231","Quaternary Science Reviews","2020"
"57b17d8ecf58f143db7d4a24","Twentieth century water quality trends in Minnesota lakes compared with presettlement variability","61","Canadian Journal of Fisheries and Aquatic Sciences","2004"
"57923f83cf58f1195d540371","Phylogenetic relationships and new tribal delimitations in subfamily Ixoroideae (Rubiaceae)","173","Botanical Journal of the Linnean Society","2013"
"5520d7d1e138236e51a9a56c","Late-Holocene fossil rodent middens from the Arica region of northernmost Chile","72","Journal of Arid Environments","2008"
"54b43266e138239d8684f0b2","Late Quaternary vegetation and climate history of a perennial river canyon in the Río Salado basin (22°S) of Northern Chile","65","Quaternary Research","2006"
"5720e865cf58f10b236026f1","A 40,000-year woodrat-midden record of vegetational and biogeographical dynamics in north-eastern Utah, USA","32","Journal of Biogeography","2005"
"5c30091e1faed655488b6f60","Rodent middens reveal episodic, long-distance plant colonizations across the hyperarid Atacama Desert over the last 34,000 years","39","Journal of Biogeography","2012"
"574cb209cf58f101d6da792e","A late Wisconsinan Coleopterous assemblage from southern Ontario and its environmental significance","14","Canadian Journal of Earth Sciences","1977"
"54b43265e138239d8684ee26","Vegetation history in central Kentucky and Tennessee (USA) during the last glacial and deglacial periods","79","Quaternary Research","2013"
"5719e6f6cf58f1736fb34b34","Paradigms and proboscideans in the southern Great Lakes region, USA","217","Quaternary International","2010"
"589a37cecf58f1a749d49a76","Reassessment of the phylogenetic interrelationships of basal turtles (Testudinata)","10","Journal of Systematic Palaeontology","2012"
"57b0bd66cf58f10df9b1c542","A fossil record of colonization and response of lacustrine fish populations to climate change","61","Canadian Journal of Fisheries and Aquatic Sciences","2004"
"54b43265e138239d8684eee2","Charcoal signatures defined by multivariate analysis of charcoal records from 10 lakes in northwest Wisconsin (USA)","75","Quaternary Research","2011"
"577c5ccbcf58f190bbf052dd","Pollen, Seed, and Mollusk Analysis of a Sediment Core from Pickerel Lake, Northeastern South Dakota","79","Geol Soc America Bull","1968"
"572b4ad4642f8891ed452216","PLOS ONE: 3800 Years of Quantitative Precipitation Reconstruction from the Northwest Yucatan Peninsula","8","PLOS ONE","2013"
"54b43266e138239d8684efed","Development of the mixed conifer forest in northern New Mexico and its relationship to Holocene environmental change","69","Quaternary Research","2008"
"570eb2c2cf58f169132fe675","Patterns and drivers of Holocene vegetational change near the prairie-forest ecotone in Minnesota: revisiting McAndrews’ transect","179","New Phytologist","2008"
"58368699cf58f112092da3c1","Multi-decadal drought and amplified moisture variability drove rapid forest community change in a humid region","93","Ecology","2012"
"550636d1e1382326932d906e","Climate-driven hydrologic transients in lake sediment records: multiproxy record of mid-Holocene drought","4-6","Quaternary Science Reviews","2002"
"57c5b941cf58f1338eaddb5b","A record of sustained prehistoric and historic land use from the Cahokia region, Illinois, USA","42","Geology","2014"
"5719a696cf58f162290b63fc","Late Quaternary chronology and extinction of North American giant short-faced bears (Arctodus simus)","217","Quaternary International","2010"
"5506a1bfe1382326932d9220","Inferring local to regional changes in forest composition from Holocene macrofossils and pollen of a small lake in central Upper Michigan","","Quaternary Science Reviews","2014"
"572096d1cf58f1a9100e7150","Geographical and climatic limits of needle types of one- and two-needled pinyon pines","0","Journal of Biogeography","2007"
"579aceefcf58f11adaf1be33","Postsettlement changes in limnic sediments from southern Alberta, Canada","36","Agriculture, Ecosystems & Environment","1991"
"54f4b4ede13823054496a06d","Holocene vegetation and climate history at Hurleg Lake in the Qaidam Basin, northwest China","3-4","Review of Palaeobotany and Palynology","2007"
"54b43266e138239d8684f175","Late Holocene d13C and pollen records of paleosalinity from tidal marshes in the San Francisco Bay estuary, California","62","Quaternary Research","2004"
"57244551cf58f1b7ad5dcd05","Persistence of coastal spruce refugia during the Holocene in northern New England, USA, detected by stand-scale pollen stratigraphies","90","Journal of Ecology","2002"
"58ce64bccf58f14ecc98b9ac","Biostratigraphy and evolution of the Momipites-Caryapollenites lineage in the early tertiary in the Wind River Basin, Wyoming","2","Palynology","1978"
"5723e593642f88867bc4504d","PLOS ONE: A High-Resolution Chronology of Rapid Forest Transitions following Polynesian Arrival in New Zealand","9","PLOS ONE","2014"
"54b4324ee138239d8684ae0a","Vegetation history, climate change and human activities over the last 6200years on the Liupan Mountains in the southwestern Loess Plateau in central China","293","Palaeogeography, Palaeoclimatology, Palaeoecology","2010"
"570cfa0bcf58f189c8b28746","Stratigraphic and geochronologic contexts of mammoth (Mammuthus) and other Pleistocene fauna, Upper Missouri Basin (northern Great Plains and Rocky Mountains), U.S.A.","","Quaternary International","2006"
"55051fb6e1382326932d8bc9","A 900-year pollen-inferred temperature and effective moisture record from varved Lake Mina, west-central Minnesota, USA","27","Quaternary Science Reviews","2008"
"56e0b580cf58f1978726e6ed","Carbon and sediment accumulation in the Everglades (USA) during the past 4000 years: Rates, drivers, and sources of error","117","Journal of Geophysical Research","2012"
"57901b12cf58f11cbe8f50f7","Holocene records of Dendroctonus bark beetles in high elevation pine forests of Idaho and Montana, USA","255","Forest Ecology and Management","2008"
"54b43249e138239d86849f76","Biomass burning in Indonesia and Papua New Guinea: natural and human induced fire events in the fossil record","171","Palaeogeography, Palaeoclimatology, Palaeoecology","2001"
"5720b7facf58f1b4c574212a","A pre-European settlement pollen?climate calibration set for Minnesota, USA: developing tools for palaeoclimatic reconstructions","0","Journal of Biogeography","2007"
"61415d1d67467f726915e235","Resolving the chronology of recent lake sediments: an example from Devils Lake, North Dakota","2","Journal of Paleolimnology","1989"
"54f4a245e13823054496a00c","Preliminary investigation of a late Wisconsinan fauna from K1 cave, Queen Charlotte Islands (Haida Gwaii), Canada","62","Quaternary Research","2004"
"54b43266e138239d8684f0c6","Postglacial vegetation, climate, and fire history along the east side of the Andes (lat 41–42.5°S), Argentina","66","Quaternary Research","2006"
"54b43265e138239d8684ee39","Climate and local controls of long-term vegetation dynamics in northern Patagonia (Lat 41°S)","78","Quaternary Research","2012"
"5c2ff4161faed655488b6cf4","From ice age to modern: a record of landscape change in an Andean cloud forest","37","Journal of Biogeography","2010"
"5504a7c9e1382326932d8857","Younger Dryas in southernmost south America — An update","12","Quaternary Science Reviews","1993"
