"","datasetid","specimenid"
"1","247",NA
"2","344",NA
"3","345",NA
"4","502",NA
"5","3060",NA
"6","3067",NA
"7","4559",NA
"8","4559",NA
"9","4560",NA
"10","4561",NA
"11","4562",NA
"12","4563",NA
"13","4563",NA
"14","4564",NA
"15","4564",NA
"16","4564",NA
"17","4570",NA
"18","4571",NA
"19","4572",NA
"20","4573",NA
"21","4574",NA
"22","4574",NA
"23","4575",4213
"24","4575",4213
"25","4576",NA
"26","4576",NA
"27","4577",NA
"28","4577",NA
"29","4578",NA
"30","4578",NA
"31","4579",NA
"32","4579",NA
"33","4580",NA
"34","4581",NA
"35","4582",NA
"36","4584",NA
"37","4585",NA
"38","4585",NA
"39","4586",NA
"40","4587",NA
"41","4588",NA
"42","4589",NA
"43","4590",NA
"44","4591",NA
"45","4592",NA
"46","4593",4174
"47","4593",4174
"48","4594",4151
"49","4594",4151
"50","4595",4094
"51","4596",NA
"52","4597",NA
"53","4598",NA
"54","4599",NA
"55","4600",NA
"56","4601",NA
"57","4602",NA
"58","4603",NA
"59","4603",NA
"60","4604",NA
"61","4605",NA
"62","4606",NA
"63","4607",NA
"64","4608",NA
"65","4609",NA
"66","4610",NA
"67","4612",NA
"68","4613",NA
"69","4618",NA
"70","4619",NA
"71","4620",NA
"72","4625",NA
"73","4626",NA
"74","4626",NA
"75","4627",NA
"76","4628",NA
"77","4628",NA
"78","4630",NA
"79","4631",NA
"80","4632",NA
"81","4633",NA
"82","4634",NA
"83","4635",4095
"84","4637",NA
"85","4638",NA
"86","4639",NA
"87","4640",NA
"88","4641",NA
"89","4642",NA
"90","4643",NA
"91","4646",NA
"92","4647",NA
"93","4649",NA
"94","4650",NA
"95","4650",NA
"96","4651",NA
"97","4653",NA
"98","4654",NA
"99","4655",NA
"100","4656",NA
"101","4657",NA
"102","4658",NA
"103","4659",NA
"104","4660",NA
"105","4665",NA
"106","4670",NA
"107","4670",NA
"108","4670",NA
"109","4674",NA
"110","4674",NA
"111","4685",NA
"112","4689",NA
"113","4691",NA
"114","4692",NA
"115","4693",NA
"116","4694",NA
"117","4695",NA
"118","4696",NA
"119","4697",NA
"120","4699",NA
"121","4709",NA
"122","4710",NA
"123","4711",NA
"124","4712",NA
"125","4722",NA
"126","4723",NA
"127","4735",NA
"128","4736",NA
"129","4737",NA
"130","4738",NA
"131","4739",NA
"132","4740",NA
"133","4741",NA
"134","4742",NA
"135","4743",NA
"136","4744",NA
"137","4745",NA
"138","4746",NA
"139","4747",NA
"140","4748",NA
"141","4749",NA
"142","4751",NA
"143","4752",NA
"144","4753",NA
"145","4754",NA
"146","4755",NA
"147","4756",NA
"148","4757",NA
"149","4758",NA
"150","4759",NA
"151","4760",NA
"152","4761",NA
"153","4762",NA
"154","4763",NA
"155","4764",NA
"156","4765",NA
"157","4766",NA
"158","4767",NA
"159","4768",NA
"160","4769",NA
"161","4770",NA
"162","4771",NA
"163","4772",NA
"164","4773",NA
"165","4774",NA
"166","4775",NA
"167","4776",NA
"168","4777",NA
"169","4778",NA
"170","4779",NA
"171","4780",NA
"172","4781",NA
"173","4782",NA
"174","4783",NA
"175","4784",NA
"176","4785",NA
"177","4786",NA
"178","4787",NA
"179","4788",NA
"180","4789",NA
"181","4790",NA
"182","4791",NA
"183","4792",NA
"184","4793",NA
"185","4794",NA
"186","4795",NA
"187","4796",NA
"188","4797",NA
"189","4798",NA
"190","4799",NA
"191","4800",NA
"192","4801",NA
"193","4802",NA
"194","4803",NA
"195","4804",NA
"196","4806",NA
"197","4807",NA
"198","4808",NA
"199","4809",NA
"200","4810",NA
"201","4811",NA
"202","4812",NA
"203","4813",NA
"204","4814",NA
"205","4815",NA
"206","4816",NA
"207","4816",NA
"208","4817",NA
"209","4818",NA
"210","4819",NA
"211","4820",NA
"212","4821",NA
"213","4822",NA
"214","4823",NA
"215","4824",NA
"216","4825",NA
"217","4827",NA
"218","4828",NA
"219","4829",NA
"220","4830",NA
"221","4831",NA
"222","4832",NA
"223","4833",NA
"224","4834",NA
"225","4835",NA
"226","4836",NA
"227","4837",NA
"228","4838",NA
"229","4839",NA
"230","4840",NA
"231","4841",NA
"232","4842",NA
"233","4843",NA
"234","4844",NA
"235","4845",NA
"236","4846",NA
"237","4847",NA
"238","4848",NA
"239","4849",NA
"240","4850",NA
"241","4851",NA
"242","4852",NA
"243","4853",NA
"244","4854",NA
"245","4855",NA
"246","4856",NA
"247","4857",NA
"248","4858",NA
"249","4859",NA
"250","4860",NA
"251","4861",NA
"252","4862",NA
"253","4863",NA
"254","4866",NA
"255","4869",NA
"256","4871",NA
"257","4874",NA
"258","4875",NA
"259","4876",NA
"260","4878",NA
"261","4879",NA
"262","4880",NA
"263","4881",NA
"264","4882",NA
"265","4883",NA
"266","4884",NA
"267","4885",NA
"268","4886",NA
"269","4887",NA
"270","4888",NA
"271","4889",NA
"272","4890",NA
"273","4891",NA
"274","4892",NA
"275","4893",NA
"276","4894",NA
"277","4895",NA
"278","4896",NA
"279","4897",NA
"280","4898",NA
"281","4899",NA
"282","4900",NA
"283","4901",NA
"284","4902",NA
"285","4903",NA
"286","4905",NA
"287","4906",NA
"288","4907",NA
"289","4908",NA
"290","4908",NA
"291","4913",NA
"292","4914",NA
"293","4915",NA
"294","4916",NA
"295","4917",NA
"296","4918",NA
"297","4919",NA
"298","4920",NA
"299","4921",NA
"300","4922",NA
"301","4923",NA
"302","4924",NA
"303","4925",NA
"304","4926",NA
"305","4927",NA
"306","4928",NA
"307","4929",NA
"308","4930",NA
"309","4931",NA
"310","4935",NA
"311","4937",NA
"312","4940",NA
"313","4941",NA
"314","4943",NA
"315","4944",NA
"316","4946",NA
"317","4948",NA
"318","4950",NA
