"siteid","sitename","sitedescription","indigName","indigID","indigSlug"
"244","Bechan Cave","Large sandstone cave. Physiography: canyon lands. Surrounding vegetation: open juniper woodland.","Southern Paiute","34889","southern-paiute-2"
"295","Boney Spring","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"295","Boney Spring","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"295","Boney Spring","","Osage","34269","osage-2"
"490","Conklin Quarry","Quarry is in Devonian bedrock overlain by ~20m of pre-Illinoian glacial deposits mantled by ~6.4 m of late Wisconsin loess. Fossils occured in a swale on the late Sangamon surface. The swale deposits,0.3-0.6m thick, represent shallow pools in the upper reaches of an upland first-order drainageway.","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"490","Conklin Quarry","Quarry is in Devonian bedrock overlain by ~20m of pre-Illinoian glacial deposits mantled by ~6.4 m of late Wisconsin loess. Fossils occured in a swale on the late Sangamon surface. The swale deposits,0.3-0.6m thick, represent shallow pools in the upper reaches of an upland first-order drainageway.","B<U+00E1>xoje ich<U+2019><U+00E9> (Iowa)","34915","iowa-2"
"490","Conklin Quarry","Quarry is in Devonian bedrock overlain by ~20m of pre-Illinoian glacial deposits mantled by ~6.4 m of late Wisconsin loess. Fossils occured in a swale on the late Sangamon surface. The swale deposits,0.3-0.6m thick, represent shallow pools in the upper reaches of an upland first-order drainageway.","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"1135","January Cave [EbPp-Vp]","Cave. Physiography: SSW facing slope of Plateau Mountain. Surrounding vegetation: Picea/Abies/Pinus.","Nakota","34483","nakota"
"1135","January Cave [EbPp-Vp]","Cave. Physiography: SSW facing slope of Plateau Mountain. Surrounding vegetation: Picea/Abies/Pinus.","Ktunaxa","34430","ktunaxa-2"
"1361","Jones Spring","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"1361","Jones Spring","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"1361","Jones Spring","","Osage","34269","osage-2"
"1482","Kirby Spring","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"1482","Kirby Spring","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"1482","Kirby Spring","","Osage","34269","osage-2"
"1757","Nonconnah Creek [TN-1]","","Chickasaw","34323","chickasaw-2"
