"","siteid","sitename","primary","datasetid","publicationid","pubtypeid","pubtype","year","citation","articletitle","journal","volume","issue","pages","citationnumber","doi","booktitle","numvolumes","edition","volumetitle","seriestitle","seriesvolume","publisher","url","city","state","country","originallanguage","notes","author_order","author_familyname","author_givennames"
"1","23674","Inglis IA [Inglis 1A]","0","40964","1539","1","Journal Article","2001","Ruez, D.R., Jr. 2001. Early Irvingtonian (latest Pliocene) rodents from Inglis 1C, Citrus County, Florida. Journal of Vertebrate Paleontology 21:153-171.","Early Irvingtonian (latest Pliocene) rodents from Inglis 1C, Citrus County, Florida","Journal of Vertebrate Paleontology","21",NA,"153-171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Ruez","Dennis R."
"2","5092","Devil's Den",NA,"6375","1541","3","Authored Book","1980","Kurtén, B.O.L, and E. Anderson. 1980. Pleistocene mammals of North America. Columbia University Press, New York, New York, USA.",NA,NA,NA,NA,NA,NA,NA,"Pleistocene mammals of North America",NA,NA,NA,NA,NA,"Columbia University Press",NA,"New York","New York","USA",NA,NA,"1","Kurtén","Björn Olof Lennartson"
"3","5092","Devil's Den",NA,"6375","1541","3","Authored Book","1980","Kurtén, B.O.L, and E. Anderson. 1980. Pleistocene mammals of North America. Columbia University Press, New York, New York, USA.",NA,NA,NA,NA,NA,NA,NA,"Pleistocene mammals of North America",NA,NA,NA,NA,NA,"Columbia University Press",NA,"New York","New York","USA",NA,NA,"2","Anderson","Elaine"
"4","5153","Melbourne [Golf Course Locality]",NA,"6449","1541","3","Authored Book","1980","Kurtén, B.O.L, and E. Anderson. 1980. Pleistocene mammals of North America. Columbia University Press, New York, New York, USA.",NA,NA,NA,NA,NA,NA,NA,"Pleistocene mammals of North America",NA,NA,NA,NA,NA,"Columbia University Press",NA,"New York","New York","USA",NA,NA,"1","Kurtén","Björn Olof Lennartson"
"5","5153","Melbourne [Golf Course Locality]",NA,"6449","1541","3","Authored Book","1980","Kurtén, B.O.L, and E. Anderson. 1980. Pleistocene mammals of North America. Columbia University Press, New York, New York, USA.",NA,NA,NA,NA,NA,NA,NA,"Pleistocene mammals of North America",NA,NA,NA,NA,NA,"Columbia University Press",NA,"New York","New York","USA",NA,NA,"2","Anderson","Elaine"
"6","5175","Haile 7A",NA,"6471","1541","3","Authored Book","1980","Kurtén, B.O.L, and E. Anderson. 1980. Pleistocene mammals of North America. Columbia University Press, New York, New York, USA.",NA,NA,NA,NA,NA,NA,NA,"Pleistocene mammals of North America",NA,NA,NA,NA,NA,"Columbia University Press",NA,"New York","New York","USA",NA,NA,"1","Kurtén","Björn Olof Lennartson"
"7","5175","Haile 7A",NA,"6471","1541","3","Authored Book","1980","Kurtén, B.O.L, and E. Anderson. 1980. Pleistocene mammals of North America. Columbia University Press, New York, New York, USA.",NA,NA,NA,NA,NA,NA,NA,"Pleistocene mammals of North America",NA,NA,NA,NA,NA,"Columbia University Press",NA,"New York","New York","USA",NA,NA,"2","Anderson","Elaine"
"8","5176","Haile 8A",NA,"6472","1541","3","Authored Book","1980","Kurtén, B.O.L, and E. Anderson. 1980. Pleistocene mammals of North America. Columbia University Press, New York, New York, USA.",NA,NA,NA,NA,NA,NA,NA,"Pleistocene mammals of North America",NA,NA,NA,NA,NA,"Columbia University Press",NA,"New York","New York","USA",NA,NA,"1","Kurtén","Björn Olof Lennartson"
"9","5176","Haile 8A",NA,"6472","1541","3","Authored Book","1980","Kurtén, B.O.L, and E. Anderson. 1980. Pleistocene mammals of North America. Columbia University Press, New York, New York, USA.",NA,NA,NA,NA,NA,NA,NA,"Pleistocene mammals of North America",NA,NA,NA,NA,NA,"Columbia University Press",NA,"New York","New York","USA",NA,NA,"2","Anderson","Elaine"
"10","5177","Haile 11B",NA,"6473","1541","3","Authored Book","1980","Kurtén, B.O.L, and E. Anderson. 1980. Pleistocene mammals of North America. Columbia University Press, New York, New York, USA.",NA,NA,NA,NA,NA,NA,NA,"Pleistocene mammals of North America",NA,NA,NA,NA,NA,"Columbia University Press",NA,"New York","New York","USA",NA,NA,"1","Kurtén","Björn Olof Lennartson"
"11","5177","Haile 11B",NA,"6473","1541","3","Authored Book","1980","Kurtén, B.O.L, and E. Anderson. 1980. Pleistocene mammals of North America. Columbia University Press, New York, New York, USA.",NA,NA,NA,NA,NA,NA,NA,"Pleistocene mammals of North America",NA,NA,NA,NA,NA,"Columbia University Press",NA,"New York","New York","USA",NA,NA,"2","Anderson","Elaine"
"12","5178","Haile 14A [Haile XIVA]",NA,"6474","1541","3","Authored Book","1980","Kurtén, B.O.L, and E. Anderson. 1980. Pleistocene mammals of North America. Columbia University Press, New York, New York, USA.",NA,NA,NA,NA,NA,NA,NA,"Pleistocene mammals of North America",NA,NA,NA,NA,NA,"Columbia University Press",NA,"New York","New York","USA",NA,NA,"1","Kurtén","Björn Olof Lennartson"
"13","5178","Haile 14A [Haile XIVA]",NA,"6474","1541","3","Authored Book","1980","Kurtén, B.O.L, and E. Anderson. 1980. Pleistocene mammals of North America. Columbia University Press, New York, New York, USA.",NA,NA,NA,NA,NA,NA,NA,"Pleistocene mammals of North America",NA,NA,NA,NA,NA,"Columbia University Press",NA,"New York","New York","USA",NA,NA,"2","Anderson","Elaine"
"14","5179","Arredondo 1A",NA,"6475","1541","3","Authored Book","1980","Kurtén, B.O.L, and E. Anderson. 1980. Pleistocene mammals of North America. Columbia University Press, New York, New York, USA.",NA,NA,NA,NA,NA,NA,NA,"Pleistocene mammals of North America",NA,NA,NA,NA,NA,"Columbia University Press",NA,"New York","New York","USA",NA,NA,"1","Kurtén","Björn Olof Lennartson"
