"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"58c07188cf58f14e47a6f129","Revisiting the intertropical Brazilian species Hoplophorus euphractus (Cingulata, Glyptodontoidea) and the phylogenetic affinities of Hoplophorus","Journal of Vertebrate Paleontology","Porpino, Kleberson de O.; Fernicola, Juan C.; Bergqvist, L<U+00ED>lian P.","1","http://www.tandfonline.com/doi/abs/10.1080/02724631003765735","Taylor and Francis","10.1080/02724631003765735","2010 05","Skull<U+2014>The maxillary and palatal portions of the skull are badly damaged and both zygomatic arches are","8294"
"58cba5e0cf58f122e6f2c6d1","The status of Giraffa nebrascensis , the synonymies of Cervalces and Cervus , and additional records of Cervalces scotti","Journal of Vertebrate Paleontology","Churcher, C. S.","2","http://www.tandfonline.com/doi/abs/10.1080/02724634.1991.10011406","Taylor and Francis","10.1080/02724634.1991.10011406","1991 09","of the lower jaw of a large fossil mammal with two well-worn teeth,"" identified as right p4 and ml (damaged","6012"
"58cba5e0cf58f122e6f2c6d1","The status of Giraffa nebrascensis , the synonymies of Cervalces and Cervus , and additional records of Cervalces scotti","Journal of Vertebrate Paleontology","Churcher, C. S.","2","http://www.tandfonline.com/doi/abs/10.1080/02724634.1991.10011406","Taylor and Francis","10.1080/02724634.1991.10011406","1991 09","As p4 is well preserved but m I is well worn and damaged in the holotype of G. nebrascensis (UNSM 2660","6012"
"5a396fd4cf58f101afafd47e","Stuck in the Muck: The Big Lake Bison Kill Site (41Rg13), West Texas","Plains Anthropologist","Turpin, Solveig A.; Bement, Leland C.; Eling, Herbert H.","1","https://www.tandfonline.com/doi/full/10.1080/2052546.1997.11931841","Taylor and Francis","10.1080/2052546.1997.11931841","2017 11","presenration was poor, measurements of critical elements were made in the field in anticipation of the damage","11017"
"54b43269e138239d8684f96b","Quaternary vegetation history of the Mississippi embayment","Quaternary Research","Delcourt, Paul A.; Delcourt, Hazel R.; Brister, Ronald C.; Lackey, Laurence E.","2","http://www.sciencedirect.com/science/article/pii/0033589480900861","Elsevier","10.1016/0033-5894(80)90086-1","January 1980","damage, degradation, and, to a lesser ex-  tent, corrosion were important processes  responsible for","47"
"54b43269e138239d8684f96b","Quaternary vegetation history of the Mississippi embayment","Quaternary Research","Delcourt, Paul A.; Delcourt, Hazel R.; Brister, Ronald C.; Lackey, Laurence E.","2","http://www.sciencedirect.com/science/article/pii/0033589480900861","Elsevier","10.1016/0033-5894(80)90086-1","January 1980","The dominant modes of grain deterioration are mechanical damage, degradation plus mechanical dam- age","47"
"54b43269e138239d8684f96b","Quaternary vegetation history of the Mississippi embayment","Quaternary Research","Delcourt, Paul A.; Delcourt, Hazel R.; Brister, Ronald C.; Lackey, Laurence E.","2","http://www.sciencedirect.com/science/article/pii/0033589480900861","Elsevier","10.1016/0033-5894(80)90086-1","January 1980","damage, degradation, and, to a lesser ex-  tent, corrosion were important processes  responsible for","48"
"54b43269e138239d8684f96b","Quaternary vegetation history of the Mississippi embayment","Quaternary Research","Delcourt, Paul A.; Delcourt, Hazel R.; Brister, Ronald C.; Lackey, Laurence E.","2","http://www.sciencedirect.com/science/article/pii/0033589480900861","Elsevier","10.1016/0033-5894(80)90086-1","January 1980","The dominant modes of grain deterioration are mechanical damage, degradation plus mechanical dam- age","48"
"574f7a8fcf58f130a1dbbb5e","New accelerator mass spectrometry radiocarbon ages for the Mazama tephra layer from Kootenay National Park, British Columbia, Canada","Canadian Journal of Earth Sciences","Hallett, D. J.; Hills, L. V.; Clague, J. J.","1","http://www.nrcresearchpress.com/doi/abs/10.1139/e17-096","Canadian Science Publishing","10.1139/e17-096","September 1997","[Traduit par la redaction]  introduction Late Pleistocene and Holocene tephra layers in western Canada","1506"
"59448633cf58f12667b55b0b","An associated musk ox skeleton from saltville, Virginia","Journal of Vertebrate Paleontology","McDonald, Jerry N.; Bartlett, Charles S.","5","http://www.tandfonline.com/doi/abs/10.1080/02724634.1983.10011946","Taylor and Francis","10.1080/02724634.1983.10011946","2010 08","Many specimens were damaged.","2808"
"59448633cf58f12667b55b0b","An associated musk ox skeleton from saltville, Virginia","Journal of Vertebrate Paleontology","McDonald, Jerry N.; Bartlett, Charles S.","5","http://www.tandfonline.com/doi/abs/10.1080/02724634.1983.10011946","Taylor and Francis","10.1080/02724634.1983.10011946","2010 08","Most damage was probably caused by decomposition following death, although some breaks on the dorsal","2808"
"59448633cf58f12667b55b0b","An associated musk ox skeleton from saltville, Virginia","Journal of Vertebrate Paleontology","McDonald, Jerry N.; Bartlett, Charles S.","5","http://www.tandfonline.com/doi/abs/10.1080/02724634.1983.10011946","Taylor and Francis","10.1080/02724634.1983.10011946","2010 08","The damage to the right rib probably occurred as the carnivores sought access to the thoracic cavity.","2808"
"59448633cf58f12667b55b0b","An associated musk ox skeleton from saltville, Virginia","Journal of Vertebrate Paleontology","McDonald, Jerry N.; Bartlett, Charles S.","5","http://www.tandfonline.com/doi/abs/10.1080/02724634.1983.10011946","Taylor and Francis","10.1080/02724634.1983.10011946","2010 08","The scapula, the vertebrae, and the fused second and third tarsal bones do not show carnivore damage.","2808"
