siteid,sitename,,Semken+ Falk?,RBS?,,Totals,Semken/Falk,RBS,0
3911,Gillette [39ST23],,yes,yes,,,29,45,
3912,Hosterman [39PO7],,yes,yes,,,,,
3913,Blue Blanket Island [39WW9],,no,yes,,Semken/Falk AND RBS,20,69,percent of semken falk sites are RBS
3914,Spain Site [39LM301],,no,yes,,not Semken/Falk AND RBS,25,81,percent of non Semken Falk are RBS
3915,Arzberger site [39HU6],,no,yes,,,,,
3916,Demery [39CO1],,no,yes,,,,,
3917,Pascal Creek [39AR207],,no,yes,,,,,
3918,McKensey Village [39AR201],,no,yes,,,,,
3919,Molstad Village [39DW234],,no,yes,,,,,
3920,Fire Cloud [39Bf237],,no,no,"""A bottle-necked cache was excavaated near Old Fort Thompson, Buffalo County, South Dakota in June of 1955 by a University of Kansas party as part of a non-reservoir salvage project""",,,,
3921,Spawn Mound [39LK201],,no,no,"""On May 13, 14, 15, and 17, 1966, the mound was partially excavated by a party sponsored by the WH Over Dakota Museum of the University of South Dakota, Vermillion; the Pettigrew Museum, Sioux Falls, South Dakota; the Minnehaha County Historicacl Society; and the Northwest Chapter of the Iowa Archaeological Society""",,,,
3922,Fox Island [39DW230],,no,yes,,,,,
3923,Mitchell [39DV2],,yes,no,,,,,
3924,Indian School [39HU10],,yes,no,excavation year seems to have been 1977 but NAGPRA notice about this site,https://www.federalregister.gov/documents/2009/03/12/E9-5327/notice-of-intent-to-repatriate-cultural-items-bureau-of-indian-affairs-great-plains-regional-office,,,
3925,Lower Grand [Davis] [39CO14],,yes,no,excavated by NPS in 1969 as separate contract at urging of Lehmer and Wood,https://journals.sagepub.com/doi/epdf/10.2190/645W-86L6-8021-14P7,,,
3926,Travis I [39CO213],,yes,unclear,"""Human remains representing, at minimum, five individuals were removed from site 39CO213, the Travis I site, in Corson County, SD. The human remains were housed at SARC before being transferred to UTK for inventory sometime between 1987 and 1988. The human remains of these individuals were retained by UTK. The Travis I site is an earth lodge village located on the left bank of the Missouri River. Radiocarbon dates from the site place occupation between 1069 CE and 1387 CE. No known individuals were identified. The two associated funerary objects are two lots of so""",https://www.federalregister.gov/documents/2023/02/01/2023-02066/notice-of-inventory-completion-us-army-corps-of-engineers-omaha-district-omaha-ne-and-the-university,,,
3927,Helb [39CA208],,yes,no,excavated by NPS in 1969 as separate contract at urging of Lehmer and Wood,https://journals.sagepub.com/doi/epdf/10.2190/645W-86L6-8021-14P7,,,
3928,Jake White Bull [39CO6],,yes,no,"In 1976, USACE contracted with UND to conduct excavations at Jake White Bull",,,,
3929,Spotted Bear [39HU26],,yes,yes,,,,,
3930,Cottonwood [39HU43],,no,yes,,,,,
3931,Four Bear [39DW2],,no,yes,"well, seems likely - excavated by Hurt in 1958",,,,
3932,Arp [39BR101],,no,yes,,,,,
3933,Anton Rygh [39CA4],,yes,yes,William Bass connectioon ,https://core.tdar.org/browse/other-keyword/37094/anton-rygh-site,,,
