"","specimenid","dataid","elementtypeid","symmetryid","portionid","maturityid","sexid","domesticstatusid","preservative","nisp","repositoryid","specimennr","fieldnr","arctosnr","notes","recdatecreated","recdatemodified"
"1","7","2930546","268",NA,NA,NA,NA,NA,NA,"1","289","8440",NA,NA,"Dark brown and partly mineralized.","2016-05-11T10:58:08.000Z","2016-05-11T10:58:08.000Z"
"2","8","2930546","6","1","39",NA,NA,NA,NA,"1","289","8440",NA,NA,"Dark brown and partly mineralized.","2016-05-11T10:58:08.000Z","2016-05-11T10:58:08.000Z"
"3","9","2930546","6","2","39",NA,NA,NA,NA,"1","289","8440",NA,NA,"Dark brown and partly mineralized.","2016-05-11T10:58:08.000Z","2016-05-11T10:58:08.000Z"
"4","10","2930547","6",NA,NA,NA,NA,NA,NA,"1","289","8441",NA,NA,"Shed antler consisting of the pedicel, part of the bow tine, and main beam. Somewhat mineralized. Excavated from a depth of 3.3 m.","2016-05-11T10:58:08.000Z","2016-05-11T10:58:08.000Z"
"5","11","2930547","6",NA,NA,NA,NA,NA,NA,"1","289","8442",NA,NA,"A young animal or female. Antler partly damaged and appears to be a shed spike. Excavated from a depth of 3 m.","2016-05-11T10:58:08.000Z","2016-05-11T10:58:08.000Z"
"6","28","2939924","268",NA,"39",NA,NA,NA,NA,"1","165","P2012:1:1",NA,NA,"Effort to obtain a direct radiocarbon date failed to yield adequate collagen.","2016-05-24T08:56:31.000Z","2016-05-24T08:56:31.000Z"
"7","29","2939925","268",NA,"39",NA,NA,NA,NA,"1","165","P2012:2:1",NA,NA,NA,"2016-05-24T08:56:48.000Z","2016-05-24T08:56:48.000Z"
"8","30","2939925","82","1",NA,NA,NA,NA,NA,"1","165","P2012:2:2",NA,NA,NA,"2016-05-24T08:56:48.000Z","2016-05-24T08:56:48.000Z"
"9","31","2939925","35","2",NA,NA,NA,NA,NA,"1","165","P2012:2:3",NA,NA,NA,"2016-05-24T08:56:48.000Z","2016-05-24T08:56:48.000Z"
"10","32","3143116","481",NA,NA,"10","1",NA,NA,"1","288","OYu 3",NA,NA,NA,"2016-09-26T08:04:02.000Z","2016-09-26T08:04:02.000Z"
"11","1298","3217620","108","5",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"2016-12-23T02:16:59.000Z","2016-12-23T02:16:59.000Z"
"12","1299","3217621","108","7",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"2016-12-23T02:16:59.000Z","2016-12-23T02:16:59.000Z"
"13","1300","3217622","26","2","15",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"2016-12-23T02:16:59.000Z","2016-12-23T02:16:59.000Z"
"14","1301","3217623","268",NA,"39",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"2016-12-23T02:16:59.000Z","2016-12-23T02:16:59.000Z"
"15","1302","3217624","46","1",NA,NA,NA,NA,NA,"1","47","42800",NA,NA,"With i1, m1, and m2.","2016-12-23T02:16:59.000Z","2016-12-23T02:16:59.000Z"
"16","1303","3217624","46","1",NA,NA,NA,NA,NA,"1","47","42801",NA,NA,"With i1, p4, and m1-3.","2016-12-23T02:16:59.000Z","2016-12-23T02:16:59.000Z"
"17","1304","3217625","46","1",NA,NA,NA,NA,NA,"1","47","42813",NA,NA,"With m1-3.","2016-12-23T02:16:59.000Z","2016-12-23T02:16:59.000Z"
