"","neotoma_harm","faunmap$`Site Name`"
"1","Paulson Point [Sarasota County Mound] [8SO23]","Paulson Point"
"2","St. John's Bluff [8DU106]","St. John's Bluff"
"3","Van Fossen [8CI194]","Van Fossen"
"4","Weekiwachee","Weekiwachee Site"
"5","River Estates [8GI38]","River Estates"
"6","Surprise Cave [Gravely No. 3] [8AL72]","Surprise Cave"
"7","Tampa Bay Shell Deposits","Tampa Bay Shell Deposits"
"8","Waddells Mill Pond [8JA65]","Waddells Mill Pond Site"
"9","Lehigh","Lehigh"
"10","Jungerman","Jungerman"
"11","Tick Island [Harris Creek Site]","Tick Island"
"12","Goodman","Goodman Site"
"13",NA,"Boynton"
"14","Summer Haven","Summer Haven Site"
"15","Snapper Creek [8DA9]","Snapper Creek"
"16","Bear Lake","Bear Lake"
"17","Fort Center Earthworks","Fort Center Earthworks"
"18","Wash Island","Wash Island Site"
"19","Marco Midden","Marco Midden"
"20","Fort Walton Temple Mound","Fort Walton Temple Mound"
"21","Tucker","Tucker"
"22","Weeden Island","Weeden Island"
"23","Cushing's Site","Cushing's Site"
"24","TA 1","TA 1"
"25","Palmer","Palmer"
"26","Shired Island","Shired Island"
"27","McLarty","McLarty Site"
"28","Jupiter Inlet","Jupiter Inlet"
"29","Burtine Island","Burtine Island"
"30","Colby [8MR57]","Colby Site"
"31","Maximo Point","Maximo Point Site"
"32","Yellow Bluffs-Whitaker Mound [8SO4]","Yellow Bluffs-Whitaker Mound"
"33","Dixie Lime Cave #2","Dixie Lime Cave #2"
"34","Dixie Lime Cave #1","Dixie Lime Cave #1"
"35","Turner River Jungle Gardens","Turner River Jungle Gardens"
"36","Marco Island 8CR107x1","Marco Island 107x1"
"37","Marco Island 8CR107x2","Marco Island 107x2"
"38","Marco Island 8CR107x3","Marco Island 107x3"
"39","Marco Island 8CR112","Marco Island 112"
"40","Melton [8Al69]","Melton Site"
"41","Walker Point [8NA28]","Walker Point"
"42","Harrison Homestead Village [8NA41]","Harrison Homestead Village Site"
"43","Boynton Mound Complex [8PB56]","Boynton Mound Complex"
"44","Askew Site [8CI46]","Askew Site"
"45","Mulberry Midden","Mulberry Midden"
