"gddid","title","pubname","authors","hits","URL","publisher","doi","coverDate","highlight","publicationid"
"54b43268e138239d8684f60b","Chronology of Holocene vertebrate extinction in the Galápagos Islands","Quaternary Research","Steadman, David W.; Stafford, Thomas W.; Donahue, Douglas J.; Jull, A.J.T.","1","http://www.sciencedirect.com/science/article/pii/003358949190021V","Elsevier","10.1016/0033-5894(91)90021-V","July 1991","The Charles Darwin Research Station and Galapagos National Park supplied permits and logistical support","19729"
"570ec569cf58f170005e6051","New pollen-analytical researches in Corsica: the problem of Quercus ilex L. and Erica arborea L., the origin of Pinus halepensis Miller forests","New Phytologist","REILLE, MAURICE","1","http://doi.wiley.com/10.1111/j.1469-8137.1992.tb04241.x","Wiley","10.1111/j.1469-8137.1992.tb04241.x","October 1992","from a sample of river mud while that of spectrum 10 was obtained from  from Lac de Creno (Fig. 2) permit","19799"
"58cb2e32cf58f1b3fcbe3e27","Pliocene Odocoileus from Hagerman Fossil Beds National Monument, Idaho, and comments on the taxonomic status of Odocoileus brachyodontus","Journal of Vertebrate Paleontology","Wheatley, Patrick V.; Ruez, Dennis R.","3","http://www.tandfonline.com/doi/abs/10.1671/0272-4634%282006%2926%5B462%3APOFHFB%5D2.0.CO%3B2","Taylor and Francis","10.1671/0272-4634(2006)26[462:POFHFB]2.0.CO;2","2006 06","There were no characters found on the HAFO antler that would permit unambiguous assignment to either","5098"
"58cb2e32cf58f1b3fcbe3e27","Pliocene Odocoileus from Hagerman Fossil Beds National Monument, Idaho, and comments on the taxonomic status of Odocoileus brachyodontus","Journal of Vertebrate Paleontology","Wheatley, Patrick V.; Ruez, Dennis R.","3","http://www.tandfonline.com/doi/abs/10.1671/0272-4634%282006%2926%5B462%3APOFHFB%5D2.0.CO%3B2","Taylor and Francis","10.1671/0272-4634(2006)26[462:POFHFB]2.0.CO;2","2006 06","Furthermore, morphometric ratios do not permit separation of HAFO 5151 or UMMP 28140 from M3s of modern","5098"
"58cb2e32cf58f1b3fcbe3e27","Pliocene Odocoileus from Hagerman Fossil Beds National Monument, Idaho, and comments on the taxonomic status of Odocoileus brachyodontus","Journal of Vertebrate Paleontology","Wheatley, Patrick V.; Ruez, Dennis R.","3","http://www.tandfonline.com/doi/abs/10.1671/0272-4634%282006%2926%5B462%3APOFHFB%5D2.0.CO%3B2","Taylor and Francis","10.1671/0272-4634(2006)26[462:POFHFB]2.0.CO;2","2006 06","King) and the Vertebrate Paleontology Laboratory, Texas Memorial Museum, for permitting access to recent","5098"
"5748346ccf58f138db85ff3a","Cave infill and associated biotic remains as indicators of Holocene environment in Gatineau Park (Quebec, Canada)","Canadian Journal of Earth Sciences","Lauriol, B; Deschamps, E; Carrier, L; Grimm, W; Morlan, R; Talon, B","2","http://www.nrcresearchpress.com/doi/abs/10.1139/e03-015","Canadian Science Publishing","10.1139/e03-015","June 2003","Rain and snow meltwater likely permitted surface material to infiltrate through fissures in the rock","7552"
"5748346ccf58f138db85ff3a","Cave infill and associated biotic remains as indicators of Holocene environment in Gatineau Park (Quebec, Canada)","Canadian Journal of Earth Sciences","Lauriol, B; Deschamps, E; Carrier, L; Grimm, W; Morlan, R; Talon, B","2","http://www.nrcresearchpress.com/doi/abs/10.1139/e03-015","Canadian Science Publishing","10.1139/e03-015","June 2003","We thank the authorities of the Parc de la Gatineau for the research permit.","7552"
"58cb9ec7cf58f120498c5731","Late Blancan (Pliocene) microtine rodents from Jackson Hole, Wyoming: biostratigraphy and biogeography","Journal of Vertebrate Paleontology","Barnosky, Anthony D.","1","http://www.tandfonline.com/doi/abs/10.1080/02724634.1985.10011860","Taylor and Francis","10.1080/02724634.1985.10011860","1985 09","Neither tooth permits positive identification below the generic level.","10241"
"5a396fd4cf58f101afafd47e","Stuck in the Muck: The Big Lake Bison Kill Site (41Rg13), West Texas","Plains Anthropologist","Turpin, Solveig A.; Bement, Leland C.; Eling, Herbert H.","2","https://www.tandfonline.com/doi/full/10.1080/2052546.1997.11931841","Taylor and Francis","10.1080/2052546.1997.11931841","2017 11","at the high point of the bluff illustrates the current configuration of the two dunes (Fig. 9) and permits","11017"
"5a396fd4cf58f101afafd47e","Stuck in the Muck: The Big Lake Bison Kill Site (41Rg13), West Texas","Plains Anthropologist","Turpin, Solveig A.; Bement, Leland C.; Eling, Herbert H.","2","https://www.tandfonline.com/doi/full/10.1080/2052546.1997.11931841","Taylor and Francis","10.1080/2052546.1997.11931841","2017 11","Acknowledgments Excavation of the Big Lake bonebed was authorized by Texas Antiquities Permit 945 issued","11017"
