"","siteid","collectionunitid","collunitname","datasetid","datasettype"
"1","13296",14862,NA,19831,"geochronologic"
"2","13296",14862,NA,19832,"vertebrate fauna"
"3","13312",14882,"Tyson Spring Cave Cervalces",19860,"vertebrate fauna"
"4","13312",14883,"Tyson Spring Cave Homotherium",19861,"geochronologic"
"5","13312",14883,"Tyson Spring Cave Homotherium",19862,"vertebrate fauna"
"6","13609",15236,"Yukagir Bison",20566,"geochronologic"
"7","13609",15236,"Yukagir Bison",20567,"plant macrofossil"
"8","13609",15236,"Yukagir Bison",20568,"pollen"
"9","13609",15236,"Yukagir Bison",20569,"vertebrate fauna"
"10","13755",15433,NA,21005,"geochronologic"
"11","13755",15433,NA,21006,"specimen stable isotope"
"12","13755",15433,NA,21007,"vertebrate fauna"
"13","13755",15433,NA,21005,"geochronologic"
"14","13755",15433,NA,21006,"specimen stable isotope"
"15","13755",15433,NA,21007,"vertebrate fauna"
"16","5872",7057,NA,7202,"vertebrate fauna"
"17","5872",7057,NA,10887,"macroinvertebrate"
"18","5872",7057,NA,39260,"vertebrate fauna"
"19","13755",15433,NA,21005,"geochronologic"
"20","13755",15433,NA,21006,"specimen stable isotope"
"21","13755",15433,NA,21007,"vertebrate fauna"
"22","16007",18052,NA,24692,"geochronologic"
"23","16007",18052,NA,24693,"vertebrate fauna"
"24","16007",18052,NA,24692,"geochronologic"
"25","16007",18052,NA,24693,"vertebrate fauna"
"26","24130",29077,"Burial Sample",42002,"specimen stable isotope"
"27","24130",29077,"Burial Sample",42003,"vertebrate fauna"
"28","8584",9813,NA,13090,"geochronologic"
"29","8584",9813,NA,13091,"vertebrate fauna"
"30","16007",18052,NA,24692,"geochronologic"
"31","16007",18052,NA,24693,"vertebrate fauna"
"32","16555",18819,NA,25902,"geochronologic"
"33","16555",18819,NA,25903,"plant macrofossil"
"34","16555",18819,NA,25904,"vertebrate fauna"
"35","16598",19119,NA,26225,"geochronologic"
"36","16598",19119,NA,26226,"vertebrate fauna"
"37","16598",19119,NA,26225,"geochronologic"
"38","16598",19119,NA,26226,"vertebrate fauna"
"39","16598",19119,NA,26225,"geochronologic"
"40","16598",19119,NA,26226,"vertebrate fauna"
"41","16598",19119,NA,26225,"geochronologic"
"42","16598",19119,NA,26226,"vertebrate fauna"
"43","18864",23045,NA,32389,"geochronologic"
"44","18864",23045,NA,32390,"vertebrate fauna"
"45","18864",23045,NA,39334,"vertebrate fauna"
"46","18979",23176,NA,32653,"geochronologic"
"47","18979",23176,NA,32654,"vertebrate fauna"
"48","18993",23190,NA,32681,"geochronologic"
"49","18993",23190,NA,32682,"vertebrate fauna"
"50","18994",23191,NA,32683,"geochronologic"
"51","18994",23191,NA,32684,"vertebrate fauna"
"52","18996",23193,NA,32687,"geochronologic"
"53","18996",23193,NA,32688,"vertebrate fauna"
"54","21461",25759,NA,36793,"geochronologic"
"55","21461",25759,NA,36794,"vertebrate fauna"
"56","6331",7541,NA,7686,"vertebrate fauna"
"57","6331",7541,NA,33386,"geochronologic"
"58","7528",8757,"Clarence Coomer borrow pit",11997,"geochronologic"
"59","7528",8757,"Clarence Coomer borrow pit",11998,"plant macrofossil"
"60","7528",8757,"Clarence Coomer borrow pit",11999,"vertebrate fauna"
"61","18996",23193,NA,32687,"geochronologic"
"62","18996",23193,NA,32688,"vertebrate fauna"
"63","18997",23194,NA,32689,"geochronologic"
"64","18997",23194,NA,32690,"vertebrate fauna"
"65","19000",23197,NA,32695,"geochronologic"
"66","19000",23197,NA,32696,"vertebrate fauna"
"67","19008",23205,NA,32711,"geochronologic"
"68","19008",23205,NA,32712,"vertebrate fauna"
"69","19018",23215,NA,32731,"geochronologic"
"70","19018",23215,NA,32732,"vertebrate fauna"
"71","19340",23539,NA,33380,"geochronologic"
"72","19340",23539,NA,33381,"vertebrate fauna"
"73","19551",23750,NA,33806,"geochronologic"
"74","19551",23750,NA,33807,"vertebrate fauna"
"75","21418",25703,NA,36689,"geochronologic"
"76","21418",25703,NA,36690,"vertebrate fauna"
"77","21439",25727,NA,36731,"geochronologic"
"78","21439",25727,NA,36732,"vertebrate fauna"
"79","21439",26881,NA,38909,"geochronologic"
"80","21439",26881,NA,38910,"vertebrate fauna"
"81","21439",26882,NA,38912,"geochronologic"
"82","21439",26882,NA,38913,"vertebrate fauna"
"83","21439",26883,NA,38914,"geochronologic"
"84","21439",26883,NA,38915,"vertebrate fauna"
"85","21439",26884,NA,38916,"geochronologic"
"86","21439",26884,NA,38917,"vertebrate fauna"
"87","21463",25761,NA,36797,"geochronologic"
"88","21463",25761,NA,36798,"vertebrate fauna"
"89","22546",27010,NA,39062,"geochronologic"
"90","22546",27010,NA,39063,"specimen stable isotope"
"91","22546",27010,NA,39064,"vertebrate fauna"
"92","22547",27011,NA,39065,"geochronologic"
"93","22547",27011,NA,39066,"vertebrate fauna"
"94","22548",27012,NA,39067,"geochronologic"
"95","22548",27012,NA,39068,"vertebrate fauna"
"96","22549",27013,NA,39069,"geochronologic"
"97","22549",27013,NA,39070,"vertebrate fauna"
"98","22554",27100,NA,39170,"geochronologic"
"99","22554",27100,NA,39171,"vertebrate fauna"
"100","4865",5915,"Pit 10",6060,"vertebrate fauna"
"101","4865",5915,"Pit 10",9928,"geochronologic"
"102","4865",5916,"Pit 13",6061,"vertebrate fauna"
"103","4865",5916,"Pit 13",9929,"geochronologic"
"104","4865",5917,"Pit 60",6062,"vertebrate fauna"
"105","4865",5917,"Pit 60",9930,"geochronologic"
"106","4865",5918,"Pit 61-67",6063,"vertebrate fauna"
"107","4865",5918,"Pit 61-67",9931,"geochronologic"
"108","4865",5919,"Pit 77",6064,"vertebrate fauna"
"109","4865",5919,"Pit 77",9932,"geochronologic"
"110","4865",5920,"Pit 91",6065,"vertebrate fauna"
"111","4865",5920,"Pit 91",9933,"geochronologic"
"112","4865",5921,"Pit 91 Northeast Corner",6066,"vertebrate fauna"
"113","4865",5921,"Pit 91 Northeast Corner",9934,"geochronologic"
"114","4865",11937,"Rancho La Brea",16194,"geochronologic"
"115","4865",11937,"Rancho La Brea",16195,"insect"
"116","4865",27102,"Pit A",39173,"geochronologic"
"117","4865",27102,"Pit A",39174,"insect"
"118","4865",27102,"Pit A",39175,"plant macrofossil"
"119","4865",27102,"Pit A",39176,"vertebrate fauna"
"120","4865",27109,"Pit B",39188,"geochronologic"
"121","4865",27109,"Pit B",39189,"insect"
"122","4865",27109,"Pit B",39193,"vertebrate fauna"
