"id","title","volume","journal","year"
"5a3976e1cf58f1047e310366","Radiocarbon Ages From The Lubbock Lake Site, 1950-1980: Framework For Gul Tural And Ecological Change On The Southern High Plains","28","Plains Anthropologist","2017"
"54b43268e138239d8684f60b","Chronology of Holocene vertebrate extinction in the Gal<U+00E1>pagos Islands","36","Quaternary Research","1991"
"58cb5173cf58f1029db050c1","The Leporidae (Mammalia, Lagomorpha) from the Blancan (Pliocene) Taunton Local Fauna of Washington","15","Journal of Vertebrate Paleontology","1995"
"58cba5e0cf58f122e6f2c6d1","The status of Giraffa nebrascensis , the synonymies of Cervalces and Cervus , and additional records of Cervalces scotti","11","Journal of Vertebrate Paleontology","1991"
"5748346ccf58f138db85ff3a","Cave infill and associated biotic remains as indicators of Holocene environment in Gatineau Park (Quebec, Canada)","40","Canadian Journal of Earth Sciences","2003"
"58cb9ec7cf58f120498c5731","Late Blancan (Pliocene) microtine rodents from Jackson Hole, Wyoming: biostratigraphy and biogeography","5","Journal of Vertebrate Paleontology","1985"
"5a396fd4cf58f101afafd47e","Stuck in the Muck: The Big Lake Bison Kill Site (41Rg13), West Texas","42","Plains Anthropologist","2017"
"54b43269e138239d8684f96b","Quaternary vegetation history of the Mississippi embayment","13","Quaternary Research","1980"
"59448633cf58f12667b55b0b","An associated musk ox skeleton from saltville, Virginia","2","Journal of Vertebrate Paleontology","2010"
"54b43267e138239d8684f3ea","An Ice Age Refugium for Large Mammals in the Alexander Archipelago, Southeastern Alaska","46","Quaternary Research","1996"
"5719e6f6cf58f1736fb34b34","Paradigms and proboscideans in the southern Great Lakes region, USA","217","Quaternary International","2010"
"570cfa0bcf58f189c8b28746","Stratigraphic and geochronologic contexts of mammoth (Mammuthus) and other Pleistocene fauna, Upper Missouri Basin (northern Great Plains and Rocky Mountains), U.S.A.","","Quaternary International","2006"
"54f4a2ede13823054496a011","Late Pleistocene mammoth remains from Coastal Maine, USA","61","Quaternary Research","2004"
"54b43266e138239d8684f023","Patterns of faunal extinction and paleoclimatic change from mid-Holocene mammoth and polar bear remains, Pribilof Islands, Alaska","70","Quaternary Research","2008"
"577e98b6cf58f18a24b8b20b","Homotherium serum and Cervalces from the Great Lakes Region, USA: geochronology, morphology and ancient DNA","41","Boreas","2012"
"54b43265e138239d8684ee72","Stable isotopes reflect the ecological stability of two high-elevation mammals from the late Quaternary of Colorado","77","Quaternary Research","2012"
"5d39a14e0b45c76caf948a40","Preliminary analyses of the frozen mummies of mammoth ( Mammuthus primigenius ), bison ( Bison priscus ) and horse ( Equus sp.) from the Yana-Indigirka Lowland, Yakutia, Russia","9","Integrative Zoology","2014"
"5c5e113e1faed6554895352a","Taphonomic analysis of late Pleistocene mastodon occurrences: evidence of butchery by North American Paleo-Indians","10","Paleobiology","1984"
"54b4324fe138239d8684afb2","Phylogeographic analysis of the mid-Holocene Mammoth from Qagnax<U+02C6> Cave, St. Paul Island, Alaska","273","Palaeogeography, Palaeoclimatology, Palaeoecology","2009"
"5a2a9b01cf58f1766a89f237","A 50,000<U+00A0>year insect record from Rancho La Brea, Southern California: Insights into past climate and fossil deposition","168","Quaternary Science Reviews","2017"
"54b43266e138239d8684f177","Current perspectives on the Pleistocene archaeology of eastern Beringia","60","Quaternary Research","2003"
"550706d8e1382326932d93b6","Proboscideans and paleoenvironments of the Pleistocene Great Lakes: landscape, vegetation, and stable isotopes","","Quaternary Science Reviews","2013"
"5a39e757cf58f12ef27cd1c8","Bison Freezers and Hunter-Gatherer Mobility: Archaeological Analysis of Cold Lava Tube Caves on Idaho<U+2019>s Snake River Plain","48","Plains Anthropologist","2017"
"574ce216cf58f10ffe821cf2","Brown bear ( Ursus arctos ) (9880 <U+00B1> 35 BP) from late-glacial Champlain Sea deposits at Saint-Nicolas, Quebec, Canada, and the dispersal history of brown bears","51","Canadian Journal of Earth Sciences","2014"
"54b4324fe138239d8684b134","Pleistocene megafauna from eastern Beringia: Paleoecological and paleoenvironmental interpretations of stable carbon and nitrogen isotope and radiocarbon records","261","Palaeogeography, Palaeoclimatology, Palaeoecology","2008"
"58cb4a76cf58f1beae14c4ea","A reevaluation of the Harrodsburg Crevice fauna (late Pleistocene of Indiana, U.S.A.) and the climatic implications of its mammals","33","Journal of Vertebrate Paleontology","2013"
"589ed2cecf58f107fe24cb82","Rediscovery of a lost Lagerst<U+00E4>tte: a comparative analysis of the historical and recent Mare aux Songes dodo excavations on Mauritius","27","Historical Biology","2015"
"54f011efe138237cc9152d8a","Carbon and nitrogen isotopic analysis of Pleistocene mammals from the Saltville Quarry (Virginia, USA): Implications for trophic relationships","3-4","Palaeogeography, Palaeoclimatology, Palaeoecology","2007"
"5833d591cf58f11329b98873","AMS 14C analysis of Late Pleistocene non-analog faunal components from 21 cave deposits in southeastern North America","217","Quaternary International","2010"
"54b43267e138239d8684f505","Late Pleistocene and Holocene Paleoenvironments of Chalco Lake, Central Mexico","40","Quaternary Research","1993"
"55b75173e13823bd29ba80dc","Geology of the Fort Laramie area, Platte and Goshen Counties, Wyoming","","Bulletin","1963"
"57871fe8cf58f175525b73ea","Alluvial history of the Porcupine River, Alaska: Role of glacial-lake overflow from northwest Canada","94","Geol Soc America Bull","1983"
"5f349c65a58f1dfd521147d1","Interindividual differences in embodied marginalization: Osteological and stable isotope analyses of antebellum enslaved individuals","","American Journal of Human Biology",NA
"57500e36cf58f1654218158a","Stable isotopes and dietary adaptations in humans and animals at pre-pottery Neolithic Nevall<U+0131> <U+00C7>ori, southeast Anatolia","131","American Journal of Physical Anthropology","2006"
"558e2ca7e13823109f3ee1bd","Geology of the Adam Weiss Peak quadrangle, Hot Springs and Park Counties, Wyoming","","Bulletin","1966"
"55b3be12e138231cbdd6d387","Stratigraphy, morphology, and paleoecology of a fossil peccary herd from western Kentucky","","Professional Paper","1972"
"56b4cd4dcf58f14c238d2fd7","Taphonomic analysis, associational integrity, and depositional history of the Fetterman Mammoth, eastern Wyoming, U.S.A.","17","Geoarchaeology","2002"
"5697eef4cf58f1143ae00837","Late Wisconsinan Port Eliza Cave deposits and their implications for human coastal migration, Vancouver Island, Canada","21","Geoarchaeology","2006"
"5697e943cf58f1143ae007e5","Mobility and exile at 2nd century A.D. khirbet edh<U+2010>dharih: Strontium isotope analysis of human migration in western Jordan","23","Geoarchaeology","2008"
"5c31e01b1faed655488ba35f","Fluted projectile points in a stratified context at the Raven Bluff site document a late arrival of Paleoindian technology in northwest Alaska","","Geoarchaeology",NA
"574a58dccf58f116ee2151be","Paleoclimatic implications of a Late Wisconsinan insect assemblage from Rostock, southwestern Ontario","24","Canadian Journal of Earth Sciences","1987"
"574dfc89cf58f16613fc0a3c","Glacial Lake Arkona <U+2013> Whittlesey transition near Leamington, Ontario: geology, plant, and muskox fossils","30","Canadian Journal of Earth Sciences","1993"
"57483dcecf58f13b78d084bc","Boreameryx , an unusual new artiodactyl (Mammalia) from the Pliocene of Arctic Canada and endemism in Arctic fossil mammals","44","Canadian Journal of Earth Sciences","2007"
"5d2489680b45c76caf9201d4","The early Pleistocene (latest Blancan-earliest Irvingtonian) Froman Ferry fauna and history of the Glenns Ferry Formation, southwestern Idaho","","Bulletin","1995"
"56b4c5c7cf58f14c238d2fa8","Geoarchaeological contexts for Late Pleistocene archaeological sites with human-modified woolly mammoth remains in southeastern Wisconsin, U.S.A.","18","Geoarchaeology","2003"
"5c604acc1faed65548956504","Shasta ground sloth food habits, Rampart Cave, Arizona","4","Paleobiology","1978"
"56f907c7cf58f176c533d523","A long-term vegetation history of the Mojave-Colorado desert ecotone at Joshua Tree National Park","25","Journal of Quaternary Science","2010"
"56f8dfd8cf58f1692d1284d1","A full-glacial biota from southeastern Iowa, USA","1","Journal of Quaternary Science","1986"
"54b43267e138239d8684f497","A Biota Associated with Matuyama-Age Sediments in West-Central Illinois","41","Quaternary Research","1994"
"54b43267e138239d8684f4a7","Elevational Shifts of Coleogyne ramossissima in the Mojave Desert during the Little Ice Age","42","Quaternary Research","1994"
"54b43267e138239d8684f3a6","Response of Bushy-Tailed Woodrats (Neotoma cinerea) to Late Quaternary Climatic Change in the Colorado Plateau","50","Quaternary Research","1998"
"54b43266e138239d8684f21a","Zooarchaeological Evidence of Prairie Taxa in Central Missouri during the Mid-Holocene","58","Quaternary Research","2002"
"54b43266e138239d8684f1e8","Morphological Chronoclines among Late Pleistocene Muskrats (Ondatra zibethicus: Muridae, Rodentia) from Northern Florida","58","Quaternary Research","2002"
"614161cc67467f726915f43e","Timing of the last highstand of Lake Lahontan","5","Journal of Paleolimnology","1991"
"6141c43e67467f7269176df4","Late Quaternary paleoenvironments of an ephemeral wetland in North Dakota, USA: relative interactions of ground-water hydrology and climate change","38","Journal of Paleolimnology","2007"
"63763c2a74bed2df5c552359","Strontium isotope analysis of human tooth enamel from Barsinia: a late antiquity site in Northern Jordan","3","Archaeological and Anthropological Sciences","2011"
"54b4326ae138239d8684fb32","The Cape Deceit fauna<U+2014>Early pleistocene mammalian assemblage from the Alaskan arctic","1","Quaternary Research","1971"
